,24-Nov-2020
The Nifty witnessed an intraday movement of about 101.1 points.The closing index was 1 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 66399.52
, Traded Quantity (in Lakhs), 28632.94
, Number of Trades, 18512741
, Total Market Capitalisation (Rs. Crores), 17267120.08

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12926.45,     13002.60,     13079.10,     12978.00,     13055.15,128.7
,NIFTY50 EQL Wgt,     13409.30,     13477.75,     13537.70,     13461.10,     13522.75,113.45
,NIFTY100 EQL Wgt,     14308.35,     14374.15,     14432.85,     14358.65,     14403.10,94.75
,NIFTY100 LowVol30,     10146.65,     10182.35,     10242.10,     10170.80,     10215.10,68.45
,NIFTY Alpha 50,     18875.05,     19042.10,     19087.50,     18949.55,     19019.50,144.45
,NIFTY MIDCAP 150,      7279.50,      7322.55,      7347.95,      7316.40,      7340.00,60.5
,NIFTY SMLCAP 50,      3111.50,      3141.85,      3150.40,      3131.65,      3146.65,35.15
,NIFTY SMLCAP 250,      5427.40,      5471.70,      5482.05,      5455.50,      5475.85,48.45
,NIFTY MIDSML 400,      6615.35,      6658.95,      6678.35,      6650.05,      6671.55,56.2
,NIFTY200 QUALTY30,     11131.40,     11174.20,     11240.10,     11165.20,     11211.15,79.75
,Nifty FinSrv25 50,     13553.90,     13658.70,     13772.85,     13629.20,     13739.90,186
,NIFTY AlphaLowVol,     12782.75,     12838.05,     12859.10,     12772.10,     12833.70,50.95
,Nifty200Momentm30,     12596.75,     12653.70,     12674.40,     12578.35,     12649.60,52.85
,Nifty100ESGSecLdr,      2243.50,      2255.30,      2265.05,      2250.95,      2260.00,16.5
,Nifty IT,     22007.05,     22099.60,     22281.85,     22016.95,     22064.30,57.25
,Nifty Next 50,     30220.30,     30351.95,     30476.75,     30284.20,     30377.15,156.85
,Nifty Bank,     29024.20,     29265.60,     29827.80,     29206.75,     29737.25,713.05
,NIFTY MIDCAP 100,     19211.40,     19326.40,     19389.40,     19292.40,     19352.25,140.85
,Nifty 500,     10635.95,     10698.30,     10749.35,     10686.50,     10733.60,97.65
,Nifty 100,     13036.65,     13110.80,     13179.10,     13090.10,     13158.30,121.65
,Nifty Midcap 50,      5365.55,      5399.00,      5417.70,      5381.55,      5410.55,45
,Nifty Realty,       253.75,       255.45,       260.90,       254.60,       258.30,4.55
,Nifty Infra,      3436.50,      3452.40,      3466.65,      3439.70,      3446.00,9.5
,Nifty Energy,     16405.55,     16528.35,     16584.05,     16342.50,     16460.55,55
,Nifty FMCG,     31568.10,     31600.40,     31878.10,     31576.95,     31832.20,264.1
,Nifty MNC,     14789.15,     14836.95,     14918.05,     14825.60,     14901.55,112.4
,Nifty Pharma,     11737.20,     11808.90,     11912.35,     11680.00,     11880.80,143.6
,Nifty PSE,      2580.95,      2593.85,      2607.10,      2573.15,      2581.95,1
,Nifty PSU Bank,      1466.85,      1478.60,      1487.55,      1463.75,      1483.10,16.25
,Nifty Serv Sector,     18101.30,     18221.90,     18331.75,     18178.25,     18289.40,188.1
,India VIX,20.7975,20.7975,22.0000,20.0250,21.0575,0.2600
,Nifty Auto,      8738.60,      8776.65,      8942.15,      8767.65,      8887.95,149.35
,Nifty Metal,      2808.60,      2827.50,      2846.75,      2803.25,      2839.15,30.55
,Nifty Media,      1477.30,      1484.95,      1490.90,      1475.45,      1478.00,.7
,NIFTY SMLCAP 100,      6309.65,      6369.60,      6386.05,      6352.25,      6380.00,70.35
,Nifty 200,      6688.00,      6726.25,      6759.20,      6717.80,      6748.90,60.9
,Nifty Div Opps 50,      2630.40,      2640.45,      2654.00,      2637.50,      2647.05,16.65
,Nifty Commodities,      3594.75,      3616.40,      3624.85,      3593.20,      3607.50,12.75
,Nifty Consumption,      5387.45,      5400.35,      5442.00,      5397.70,      5422.95,35.5
,Nifty Fin Service,     14059.10,     14170.95,     14312.60,     14139.05,     14275.25,216.15
,Nifty50 Div Point,        79.54,        79.54,        79.54,        79.54,        79.54,0
,Nifty100 Liq 15,      3112.85,      3133.80,      3167.15,      3130.60,      3160.80,47.95
,Nifty CPSE,      1483.85,      1489.65,      1502.35,      1482.20,      1487.25,3.4
,Nifty GrowSect 15,      6471.75,      6509.00,      6573.30,      6492.80,      6557.90,86.15
,Nifty50 PR 2x Lev,      5216.75,      5277.80,      5339.00,      5259.90,      5320.20,103.45
,Nifty50 PR 1x Inv,       339.70,       337.75,       338.30,       335.75,       336.35,-3.35
,Nifty50 TR 2x Lev,      6927.70,      7008.75,      7090.05,      6985.00,      7065.05,137.35
,Nifty50 TR 1x Inv,       294.95,       293.25,       293.75,       291.50,       292.05,-2.9
,Nifty50 Value 20,      6232.05,      6256.95,      6289.80,      6246.25,      6272.50,40.45
,Nifty Mid Liq 15,      4714.55,      4741.15,      4768.40,      4736.30,      4758.45,43.9
,Nifty Pvt Bank,     16166.85,     16298.45,     16592.35,     16263.00,     16542.95,376.1
,NIFTY100 Qualty30,      3023.10,      3033.85,      3054.95,      3031.85,      3049.00,25.9
,Nifty GS 8 13Yr,      2241.68,      2242.05,      2244.42,      2240.79,      2244.37,2.69
,Nifty GS 10Yr,      2021.98,      2022.30,      2025.04,      2020.03,      2024.74,2.76
,Nifty GS 10Yr Cln,       968.53,       968.53,       969.86,       967.42,       969.72,1.19
,Nifty GS 4 8Yr,      2388.67,      2389.05,      2391.62,      2388.05,      2391.61,2.94
,Nifty GS 11 15Yr,      2422.24,      2422.67,      2427.84,      2422.45,      2427.84,5.6
,Nifty GS 15YrPlus,      2636.51,      2636.99,      2639.27,      2636.99,      2639.27,2.76
,Nifty GS Compsite,      2287.43,      2287.81,      2290.30,      2286.97,      2290.29,2.86

,ADVANCES,1097
,DECLINES,806
,UNCHANGED,117

,Total securities that have hit their price bands today,364

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFCBANK,EQ,      1394.60,      1438.20,3.13,2871.05
,ALANKIT,EQ,        15.60,                  2400637.45,154396
,ALBERTDAVD,EQ,       460.40,                 83880231.65,180526
,ALCHEM,EQ,         5.25,                   259139.85,48687
,ALEMBICLTD,EQ,       103.30,                398165755.30,3834880
,ALICON,EQ,       331.80,                  4518154.30,13709
,ALKALI,EQ,        48.90,                   840894.70,16984
,ALKYLAMINE,EQ,      3728.95,                314023688.35,84508
,ALLCARGO,EQ,       123.25,                 17452440.40,142133
,ALLSEC,EQ,       244.60,                  2265207.85,9371
,ALMONDZ,EQ,        16.35,                   504151.20,30320
,ALOKINDS,EQ,        22.10,                205672967.45,9275128
,ALPA,BE,        35.00,                   808858.25,23034
,ALPHAGEO,EQ,       206.25,                 82874851.90,418059
,ALPSINDUS,EQ,         1.00,                     7508.50,7510
,AMARAJABAT,EQ,       891.25,                748050614.20,847138
,AMBER,EQ,      2227.65,                137289814.40,61652
,AMBIKCO,EQ,       719.25,                 10217583.65,14207
,AMDIND,EQ,        15.45,                   132074.80,8548
,AMJLAND,EQ,        23.65,                   255387.65,10745
,AMRUTANJAN,EQ,       494.15,                100034114.65,201666
,ANANTRAJ,EQ,        26.90,                 62359384.80,2335680
,ANDHRACEMT,EQ,         4.85,                  1243459.15,256822
,ANDHRAPAP,EQ,       201.65,                  3198574.00,15729
,ANDHRSUGAR,EQ,       292.80,                 14200086.95,48720
,ANGELBRKG,EQ,       354.85,                 50083962.50,140872
,ANIKINDS,EQ,        11.40,                   765423.05,67781
,ANKITMETAL,EQ,         1.00,                    81972.15,79468
,ANSALAPI,EQ,         4.25,                   474671.85,114117
,ANSALHSG,EQ,         3.90,                   202649.00,53145
,ANUP,EQ,       591.65,                  5560101.80,9340
,APARINDS,EQ,       344.10,                 19811968.85,57988
,APCL,EQ,       213.50,                 43517945.95,206846
,APCOTEXIND,EQ,       169.40,                 16214939.00,95586
,APEX,EQ,       283.65,                 38946829.90,135943
,APLAPOLLO,EQ,      3219.95,                 87235686.40,27071
,APLLTD,EQ,       995.55,                241585656.35,242263
,APOLLO,EQ,       113.80,                  8440625.65,74389
,APOLLOHOSP,EQ,      2313.35,               4766161535.15,2018323
,APOLLOPIPE,EQ,       650.80,                  9976305.70,15282
,APOLLOTYRE,EQ,       177.60,               1574834587.10,8863848
,APOLSINHOT,EQ,       591.70,                  1216200.25,2040
,APTECHT,EQ,       123.25,                 30743398.60,246257
,ARCHIDPLY,EQ,        29.15,                  4861066.65,168312
,ARCHIES,EQ,        15.25,                 17787720.90,1187976
,ARCOTECH,EQ,         2.00,                    27578.20,14056
,ARENTERP,EQ,        10.60,                    15732.90,1475
,ARIES,EQ,        84.10,                  3926794.35,46494
,ARIHANT,EQ,        16.25,                     9752.20,606
,ARIHANTSUP,EQ,        26.15,                   144143.60,5528
,ARMANFIN,EQ,       643.30,                 20804363.50,31925
,AROGRANITE,EQ,        35.60,                  1198784.80,33570
,ARROWGREEN,EQ,        46.00,                   226889.95,4916
,ARSHIYA,EQ,        14.70,                  1196063.30,79086
,ARSSINFRA,EQ,        14.05,                   499542.00,34651
,ARTEMISMED,EQ,       158.25,                   566243.35,3556
,ARVIND,EQ,        40.75,                 54871595.00,1345721
,ARVINDFASN,EQ,       133.80,                 32671620.00,243925
,ARVSMART,EQ,        91.80,                 14256782.35,155321
,ASAHIINDIA,EQ,       238.90,                  6735788.20,28049
,ASAHISONG,EQ,       216.05,                  6194285.15,28481
,ASAL,EQ,        24.70,                    56630.25,2298
,ASALCBR,EQ,       287.95,                 20646632.85,70931
,ASCOM,SM,        46.05,                   184200.00,4000
,ASHAPURMIN,EQ,        71.55,                  7352426.40,102143
,ASHIANA,EQ,        93.95,                  5658981.00,59588
,ASHIMASYN,EQ,         9.90,                  1181472.05,120923
,ASHOKA,EQ,        73.85,                 70539574.75,953597
,ASHOKLEY,EQ,        91.30,               1827585665.45,20003627
,ASIANHOTNR,EQ,        55.85,                   289881.10,5225
,ASIANTILES,EQ,       293.45,                 47803646.45,162888
,ASPINWALL,EQ,       126.05,                  1199408.50,9654
,ASTEC,EQ,       953.25,                140105196.80,147084
,ASTERDM,EQ,       171.60,                 65483954.25,382805
,ASTRAL,EQ,      1406.60,                112369330.95,79901
,ASTRAMICRO,EQ,       109.15,                 37158231.20,342005
,ASTRAZEN,EQ,      4533.10,                876622845.50,192535
,ASTRON,EQ,        45.40,                  1710366.15,37455
,ATALREAL,SM,        45.00,                    72000.00,1600
,ATFL,EQ,       701.60,                  3239876.15,4626
,ATLANTA,EQ,         6.50,                   150354.55,23315
,ATLASCYCLE,BE,        37.65,                   246686.15,6591
,ATUL,EQ,      6317.45,                230731149.45,36244
,ATULAUTO,EQ,       169.95,                 15096245.85,88704
,AUBANK,EQ,       874.35,                296572910.10,336748
,AURIONPRO,EQ,        73.40,                 14040571.40,197299
,AUSOMENT,EQ,        52.50,                   874290.05,16497
,AUTOAXLES,EQ,       918.65,                 26271334.10,28064
,AUTOIND,EQ,        28.55,                   774039.75,27117
,AUTOLITIND,EQ,        19.70,                   123713.80,6309
,AVADHSUGAR,EQ,       184.65,                  6466950.15,34639
,AVANTIFEED,EQ,       513.80,                373353747.15,728185
,AVROIND,SM,        47.00,                   387400.00,8000
,AVSL,SM,        30.00,                   180000.00,6000
,AVTNPL,EQ,        46.85,                  6933458.85,147926
,AXISBNKETF,EQ,       297.35,                 74312153.95,252023
,AXISCADES,EQ,        52.90,                  6608985.10,124340
,AXISGOLD,EQ,        42.79,                  9180190.98,214427
,AXISNIFTY,EQ,       134.07,                   821054.27,6138
,AYMSYNTEX,EQ,        42.75,                  2787588.50,66028
,BAFNAPH,BE,       156.10,                   136743.60,876
,BAGFILMS,EQ,         2.50,                   116158.90,46458
,BAJAJCON,EQ,       190.15,                146210709.40,767529
,BAJAJELEC,EQ,       564.00,                134253467.05,239592
,BAJAJHIND,EQ,         5.30,                 30788236.15,5937139
,BALAJITELE,EQ,        60.80,                  7251523.05,119217
,BALAMINES,EQ,      1011.70,                198943735.80,193767
,BALAXI,EQ,       664.25,                  4686035.85,6919
,BALKRISHNA,EQ,        15.30,                   567098.50,37915
,BALKRISIND,EQ,      1653.50,               2450956727.10,1470444
,BALLARPUR,EQ,         1.15,                  4618109.05,3901373
,BALMLAWRIE,EQ,       102.45,                 11417009.35,111393
,BALPHARMA,BE,        55.10,                   785643.55,14315
,BALRAMCHIN,EQ,       155.10,                113513483.00,726802
,BANARBEADS,EQ,        53.05,                  1436427.30,27121
,BANARISUG,EQ,      1302.70,                   507356.20,389
,BANCOINDIA,EQ,       131.10,                128265045.75,993213
,BANG,EQ,        19.60,                    17877.90,911
,BANKA,EQ,        40.75,                   156458.80,3874
,BANKBEES,EQ,       298.59,                241056796.22,811654
,BANKINDIA,EQ,        43.75,                 71621806.90,1639286
,BANSWRAS,EQ,        80.00,                   457163.30,5686
,BARTRONICS,BZ,         1.50,                    16903.70,11577
,BASF,EQ,      1631.70,                219191772.65,134149
,BASML,EQ,        87.30,                   296596.20,3365
,BATAINDIA,EQ,      1504.30,               1622414887.30,1070533
,BAYERCROP,EQ,      5348.60,                432004642.75,81840
,BBL,EQ,       850.80,                 13605477.20,15904
,BBTC,EQ,      1347.90,                136333630.25,101476
,BBTCL,SM,        36.50,                   326850.00,9000
,BCG,EQ,         5.10,                 23564286.35,4591277
,BCONCEPTS,SM,        15.50,                    46500.00,3000
,BCP,EQ,         4.80,                   253570.10,52668
,BDL,EQ,       311.85,                 92577225.95,297213
,BEARDSELL,EQ,         8.90,                    18241.60,2085
,BEDMUTHA,EQ,        19.75,                    38902.15,1975
,BEL,EQ,       107.70,               1180001047.40,10966751
,BEML,EQ,       713.40,               1193654970.00,1679107
,BEPL,EQ,       118.10,                282973301.10,2447899
,BETA,SM,       115.00,                   755240.00,6400
,BFINVEST,EQ,       277.20,                  8160472.00,29227
,BFUTILITIE,EQ,       261.20,                101797868.90,388448
,BGRENERGY,EQ,        35.65,                  2256202.55,63418
,BHAGERIA,EQ,       134.80,                  3104979.30,22874
,BHAGYANGR,EQ,        18.55,                   290345.00,15595
,BHAGYAPROP,EQ,        22.55,                    15749.15,698
,BHANDARI,EQ,         1.15,                    95233.20,84445
,BHARATFORG,EQ,       494.10,                725509299.40,1461928
,BHARATGEAR,EQ,        52.10,                   735779.80,14078
,BHARATRAS,EQ,      9497.10,                209630948.35,22696
,BHARATWIRE,EQ,        26.30,                  1855731.60,66239
,BHEL,EQ,        31.35,               2366482533.25,75427091
,BIGBLOC,BE,        91.30,                   165501.50,1795
,BIL,EQ,       141.55,                   965511.75,6866
,BILENERGY,EQ,          .75,                   216005.70,274436
,BINDALAGRO,EQ,        13.45,                  2277358.70,175930
,BIOFILCHEM,BE,       189.00,                  8650341.00,45769
,BIRLACABLE,EQ,        51.70,                  3294138.00,63866
,BIRLACORPN,EQ,       724.85,                121742650.75,165559
,BIRLAMONEY,EQ,        42.15,                  3505413.60,82928
,BIRLATYRE,EQ,        21.65,                 16064887.00,761428
,BKMINDST,EQ,          .85,                    16324.80,19388
,BLBLIMITED,EQ,         4.75,                   103298.05,21279
,BLISSGVS,EQ,       161.80,                116211846.95,716361
,BLKASHYAP,EQ,         7.30,                  1142414.45,154877
,BLS,EQ,        76.55,                  3787183.70,48826
,BLUECOAST,EQ,         5.05,                    13700.00,2800
,BLUEDART,EQ,      3936.00,                 48873176.70,12318
,BLUESTARCO,EQ,       784.25,                110189920.45,141315
,BODALCHEM,EQ,        70.50,                139676720.75,1961282
,BOHRA,SM,         1.05,                     8400.00,8000
,BOMDYEING,EQ,        73.35,                660440928.80,9116454
,BOROLTD,EQ,       156.10,                 23622044.25,148351
,BORORENEW,EQ,       123.25,                193382453.40,1593900
,BPL,EQ,        23.00,                 23060667.25,985535
