,04-Dec-2020
The Nifty witnessed an intraday movement of about 127.2 points.The closing index was 0.95 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 72020.34
, Traded Quantity (in Lakhs), 34943.59
, Number of Trades, 20013963
, Total Market Capitalisation (Rs. Crores), 17790826.25

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     13133.90,     13177.40,     13280.05,     13152.85,     13258.55,124.65
,NIFTY50 EQL Wgt,     13960.80,     14029.15,     14128.90,     13965.40,     14112.35,151.55
,NIFTY100 EQL Wgt,     14927.50,     14995.35,     15059.00,     14893.85,     15042.85,115.35
,NIFTY100 LowVol30,     10321.70,     10355.60,     10408.35,     10332.65,     10384.90,63.2
,NIFTY Alpha 50,     19220.05,     19304.35,     19355.95,     19138.05,     19268.10,48.05
,NIFTY MIDCAP 150,      7597.80,      7638.05,      7667.05,      7554.35,      7625.90,28.1
,NIFTY SMLCAP 50,      3307.40,      3323.55,      3331.00,      3300.00,      3322.05,14.65
,NIFTY SMLCAP 250,      5736.05,      5769.70,      5783.40,      5718.65,      5764.90,28.85
,NIFTY MIDSML 400,      6930.95,      6968.85,      6991.65,      6897.30,      6959.40,28.45
,NIFTY200 QUALTY30,     11491.10,     11520.15,     11583.65,     11506.00,     11573.75,82.65
,Nifty FinSrv25 50,     13815.70,     13863.90,     13998.55,     13757.05,     13906.85,91.15
,NIFTY AlphaLowVol,     13104.00,     13145.30,     13191.35,     13101.40,     13181.70,77.7
,Nifty200Momentm30,     12925.00,     12965.55,     13038.35,     12922.35,     13026.70,101.7
,Nifty100ESGSecLdr,      2258.10,      2264.95,      2277.85,      2260.70,      2274.90,16.8
,Nifty IT,     22202.20,     22222.25,     22347.85,     22130.30,     22309.80,107.6
,Nifty Next 50,     31319.40,     31434.60,     31556.35,     31170.85,     31439.10,119.7
,Nifty Bank,     29448.75,     29573.40,     30162.30,     29473.50,     30052.40,603.65
,NIFTY MIDCAP 100,     20127.25,     20231.30,     20325.15,     19989.70,     20197.30,70.05
,Nifty 500,     10893.60,     10934.65,     10990.20,     10888.95,     10978.85,85.25
,Nifty 100,     13280.50,     13325.10,     13415.05,     13288.95,     13396.50,116
,Nifty Midcap 50,      5665.70,      5698.10,      5737.45,      5628.65,      5696.00,30.3
,Nifty Realty,       280.20,       281.05,       284.80,       280.20,       283.40,3.2
,Nifty Infra,      3528.55,      3553.15,      3578.80,      3535.90,      3565.90,37.35
,Nifty Energy,     16941.25,     17048.10,     17102.10,     16802.90,     16923.55,-17.7
,Nifty FMCG,     31908.65,     32044.05,     32404.85,     32016.50,     32356.75,448.1
,Nifty MNC,     15173.20,     15235.45,     15288.30,     15147.75,     15234.90,61.7
,Nifty Pharma,     12206.95,     12248.55,     12393.55,     12131.90,     12353.60,146.65
,Nifty PSE,      2748.70,      2766.60,      2780.40,      2729.05,      2757.30,8.6
,Nifty PSU Bank,      1673.05,      1687.15,      1710.40,      1642.00,      1697.95,24.9
,Nifty Serv Sector,     18238.20,     18290.85,     18472.00,     18257.00,     18431.75,193.55
,India VIX,19.0000,19.0000,19.0350,16.5300,18.0275,-0.9725
,Nifty Auto,      9245.30,      9290.65,      9408.75,      9207.50,      9302.20,56.9
,Nifty Metal,      3126.10,      3144.70,      3193.55,      3100.55,      3161.35,35.25
,Nifty Media,      1581.90,      1596.70,      1617.15,      1566.25,      1583.50,1.6
,NIFTY SMLCAP 100,      6675.35,      6709.15,      6726.95,      6652.25,      6699.35,24
,Nifty 200,      6835.05,      6859.40,      6898.55,      6833.60,      6890.55,55.5
,Nifty Div Opps 50,      2720.10,      2731.30,      2744.05,      2725.75,      2742.15,22.05
,Nifty Commodities,      3764.65,      3789.20,      3817.05,      3740.50,      3782.20,17.55
,Nifty Consumption,      5562.80,      5584.70,      5643.35,      5583.30,      5637.85,75.05
,Nifty Fin Service,     14138.75,     14181.40,     14357.40,     14124.10,     14286.45,147.7
,Nifty50 Div Point,        79.54,        79.54,        79.54,        79.54,        79.54,0
,Nifty100 Liq 15,      3213.20,      3231.90,      3264.40,      3214.20,      3257.40,44.2
,Nifty CPSE,      1593.85,      1604.80,      1615.05,      1582.65,      1602.40,8.55
,Nifty GrowSect 15,      6523.40,      6544.55,      6628.75,      6538.50,      6611.05,87.65
,Nifty50 PR 2x Lev,      5378.40,      5413.55,      5495.55,      5393.45,      5480.00,101.6
,Nifty50 PR 1x Inv,       334.45,       333.35,       334.00,       330.80,       331.30,-3.15
,Nifty50 TR 2x Lev,      7142.30,      7189.00,      7297.95,      7162.35,      7277.25,134.95
,Nifty50 TR 1x Inv,       290.35,       289.45,       289.95,       287.20,       287.65,-2.7
,Nifty50 Value 20,      6372.20,      6392.95,      6441.75,      6386.70,      6437.40,65.2
,Nifty Mid Liq 15,      4956.20,      4980.15,      5023.70,      4937.10,      4992.30,36.1
,Nifty Pvt Bank,     16321.60,     16397.55,     16711.65,     16346.95,     16648.10,326.5
,NIFTY100 Qualty30,      3108.15,      3115.40,      3133.05,      3110.20,      3130.25,22.1
,Nifty GS 8 13Yr,      2242.18,      2242.55,      2247.08,      2242.55,      2246.74,4.56
,Nifty GS 10Yr,      2021.18,      2021.50,      2027.05,      2021.44,      2025.60,4.42
,Nifty GS 10Yr Cln,       966.57,       966.57,       969.28,       966.54,       968.57,2
,Nifty GS 4 8Yr,      2388.58,      2388.96,      2397.81,      2388.96,      2397.81,9.23
,Nifty GS 11 15Yr,      2433.80,      2434.22,      2438.01,      2434.22,      2436.22,2.42
,Nifty GS 15YrPlus,      2655.07,      2655.55,      2665.92,      2655.55,      2665.92,10.85
,Nifty GS Compsite,      2287.94,      2288.32,      2294.18,      2288.32,      2293.71,5.77

,ADVANCES,1088
,DECLINES,846
,UNCHANGED,96

,Total securities that have hit their price bands today,416

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       256.30,       263.50,2.81,2054.09
,ALANKIT,EQ,        16.90,                  3725769.95,216578
,ALBERTDAVD,EQ,       449.70,                  9196400.90,20354
,ALCHEM,EQ,         5.30,                   397146.20,74292
,ALEMBICLTD,EQ,       104.25,                 39091617.10,373525
,ALICON,EQ,       359.55,                  3788252.60,10496
,ALKALI,EQ,        48.25,                   912640.65,18938
,ALKYLAMINE,EQ,      3965.60,                114813484.40,28706
,ALLCARGO,EQ,       128.85,                 47663946.45,369705
,ALLSEC,EQ,       247.85,                   821029.95,3292
,ALMONDZ,EQ,        16.35,                   275314.25,16763
,ALOKINDS,EQ,        22.30,                289877739.80,13061517
,ALPA,BE,        36.10,                   667793.65,18593
,ALPHAGEO,BE,       216.80,                  4487219.05,20581
,ALPSINDUS,EQ,          .95,                    48181.70,53463
,AMARAJABAT,EQ,       911.60,                809116757.55,881338
,AMBER,EQ,      2326.80,                252289765.15,108651
,AMBIKCO,EQ,       811.20,                173194351.00,218301
,AMDIND,EQ,        16.90,                   403163.95,23646
,AMJLAND,EQ,        24.25,                   764042.85,32035
,AMRUTANJAN,EQ,       495.65,                 16166119.55,32559
,ANANTRAJ,EQ,        27.30,                 25419559.50,933316
,ANDHRACEMT,EQ,         6.40,                  2884780.80,450747
,ANDHRAPAP,EQ,       201.35,                  6185002.20,30538
,ANDHRSUGAR,EQ,       299.85,                 15088902.20,50085
,ANGELBRKG,EQ,       347.85,                 44288757.40,126982
,ANIKINDS,EQ,        12.65,                   512085.70,39984
,ANKITMETAL,EQ,          .95,                    29608.20,29765
,ANSALAPI,EQ,         4.95,                  2555195.35,504174
,ANSALHSG,EQ,         4.70,                   596405.15,124826
,ANUP,EQ,       623.45,                  9834183.55,15864
,APARINDS,EQ,       361.20,                 14554790.60,39792
,APCL,EQ,       215.25,                 11355647.25,52439
,APCOTEXIND,EQ,       173.70,                 11153371.50,64051
,APEX,EQ,       294.80,                 39655782.65,133116
,APLAPOLLO,EQ,      3708.60,                789234457.80,219285
,APLLTD,EQ,      1012.35,                261247048.70,258740
,APOLLO,EQ,       115.80,                 11146055.80,95247
,APOLLOHOSP,EQ,      2434.65,               2958063679.80,1219317
,APOLLOPIPE,EQ,       685.40,                 96656123.15,141894
,APOLLOTYRE,EQ,       188.25,               1191181941.65,6319781
,APOLSINHOT,EQ,       608.65,                   817746.70,1339
,APTECHT,EQ,       122.30,                 46202982.95,376012
,ARCHIDPLY,EQ,        30.55,                  5396846.85,178628
,ARCHIES,EQ,        14.80,                  1306654.45,87939
,ARCOTECH,EQ,         2.00,                   138371.05,69620
,ARENTERP,EQ,        10.50,                    19549.55,1887
,ARIES,EQ,        90.15,                 14914246.05,167755
,ARIHANT,EQ,        16.95,                    21815.75,1280
,ARIHANTSUP,EQ,        26.40,                   594361.35,22999
,ARMANFIN,EQ,       643.40,                  5831401.50,9054
,AROGRANITE,EQ,        38.60,                  1408216.35,36100
,ARROWGREEN,EQ,        47.35,                   363864.20,7555
,ARSHIYA,EQ,        16.10,                   406295.40,24919
,ARSSINFRA,EQ,        19.05,                   921096.00,48218
,ARTEMISMED,EQ,       194.65,                  1637910.30,8538
,ARVIND,EQ,        41.60,                 79363460.10,1915084
,ARVINDFASN,EQ,       136.75,                136649874.20,996374
,ARVSMART,EQ,        96.00,                 18861003.45,193406
,ASAHIINDIA,EQ,       273.85,                105437027.95,385895
,ASAHISONG,EQ,       229.90,                  9093609.50,39294
,ASAL,EQ,        28.70,                   265130.80,9331
,ASALCBR,EQ,       298.65,                 21060697.50,69499
,ASHAPURMIN,EQ,        78.75,                  8712227.75,109495
,ASHIANA,EQ,        97.85,                 24586585.90,258869
,ASHIMASYN,BE,        12.45,                  1242541.65,97279
,ASHOKA,EQ,        86.65,                277762050.30,3220938
,ASHOKLEY,EQ,        94.80,               2478789546.50,25898813
,ASIANHOTNR,EQ,        66.70,                  4453949.80,65192
,ASIANTILES,EQ,       299.20,                 41997720.35,140386
,ASPINWALL,EQ,       133.45,                   327083.45,2461
,ASTEC,EQ,       976.25,                112024756.05,114764
,ASTERDM,EQ,       166.35,                 19255819.55,114990
,ASTRAL,EQ,      1515.35,                341320039.50,229198
,ASTRAMICRO,EQ,       117.75,                 97266921.15,812837
,ASTRAZEN,EQ,      4507.90,                 97303636.15,21563
,ASTRON,EQ,        46.00,                  5491879.75,119123
,ATFL,EQ,       767.75,                 14671976.65,18892
,ATLANTA,EQ,         8.75,                  1085690.85,120776
,ATLASCYCLE,BZ,        37.80,                   342100.25,9061
,ATUL,EQ,      6145.00,                 93935371.20,15239
,ATULAUTO,EQ,       173.65,                 24994063.25,142684
,AUBANK,EQ,       880.45,                281515635.40,318975
,AURIONPRO,EQ,        77.80,                  1440926.35,18530
,AUSOMENT,EQ,        52.90,                   341474.50,6404
,AUTOAXLES,EQ,       925.90,                 12646821.10,13740
,AUTOIND,EQ,        30.25,                  1299553.35,43683
,AUTOLITIND,EQ,        20.55,                   180454.95,8830
,AVADHSUGAR,EQ,       200.20,                 18663978.45,92849
,AVANTIFEED,EQ,       536.60,                139225837.85,258016
,AVSL,SM,        30.00,                   720000.00,24000
,AVTNPL,EQ,        47.30,                 16161947.65,339215
,AXISBNKETF,EQ,       299.97,                   489491.22,1643
,AXISCADES,EQ,        54.40,                 17284814.30,318707
,AXISGOLD,EQ,        42.96,                  2444101.11,56877
,AXISNIFTY,EQ,       136.28,                   583145.19,4299
,AYMSYNTEX,BE,        44.95,                  1276495.80,28898
,BAFNAPH,BE,       147.25,                   540996.50,3674
,BAGFILMS,EQ,         2.60,                   153679.50,59570
,BAJAJCON,EQ,       199.55,                135401418.25,675160
,BAJAJELEC,EQ,       609.20,                114074192.55,189220
,BAJAJHIND,EQ,         5.60,                 14165336.30,2543554
,BALAJITELE,EQ,        67.70,                 80962431.15,1211902
,BALAMINES,EQ,       983.65,                 80760265.60,81581
,BALAXI,EQ,       648.65,                  1976874.10,3061
,BALKRISHNA,BE,        19.70,                   304124.65,15720
,BALKRISIND,EQ,      1649.50,               1118904775.95,678502
,BALLARPUR,BZ,         1.35,                   115427.70,85502
,BALMLAWRIE,EQ,       118.40,                 79459215.70,669384
,BALPHARMA,BE,        55.00,                  2172954.30,39716
,BALRAMCHIN,EQ,       166.45,                179051839.20,1081097
,BANARBEADS,EQ,        53.15,                   207682.95,3893
,BANARISUG,EQ,      1406.70,                  2565300.30,1857
,BANCOINDIA,EQ,       133.55,                 36339788.45,270012
,BANG,EQ,        23.45,                   871490.50,37335
,BANKA,EQ,        43.20,                   423503.70,9820
,BANKBEES,EQ,       301.92,                280324282.27,935581
,BANKINDIA,EQ,        48.70,                359931226.75,7358048
,BANSWRAS,EQ,        87.60,                  5533693.10,63899
,BARTRONICS,BZ,         1.80,                    23099.40,12833
,BASF,EQ,      1633.00,                 29080872.35,17754
,BASML,EQ,        94.95,                 10730641.00,112027
,BATAINDIA,EQ,      1563.85,                911161327.20,584853
,BAYERCROP,EQ,      5148.35,                127987921.55,24806
,BBL,EQ,       881.55,                 13048437.60,14765
,BBTC,EQ,      1280.65,                101447605.50,78886
,BBTCL,SM,        39.00,                   117000.00,3000
,BCG,EQ,         4.95,                 24754643.05,5004025
,BCP,EQ,         5.00,                  1664625.20,328321
,BDL,EQ,       322.60,                 47659298.25,146930
,BEARDSELL,EQ,         8.80,                   136423.05,15314
,BEDMUTHA,EQ,        23.75,                   684631.40,28899
,BEL,EQ,       115.75,               1781214330.65,15335926
,BEML,EQ,       739.00,                398439022.25,538247
,BEPL,EQ,       128.70,                 94253511.55,728246
,BETA,SM,       118.50,                   572680.00,4800
,BFINVEST,EQ,       293.95,                 26067765.00,87823
,BFUTILITIE,EQ,       272.50,                249743726.25,898677
,BGRENERGY,EQ,        44.45,                 62116605.20,1369831
,BHAGERIA,EQ,       140.25,                  6893444.40,48633
,BHAGYANGR,EQ,        20.35,                   240800.25,11956
,BHAGYAPROP,EQ,        23.40,                  1951834.70,80142
,BHANDARI,EQ,         1.45,                   602722.50,414123
,BHARATFORG,EQ,       551.95,               4963155381.60,8988023
,BHARATGEAR,EQ,        56.10,                  1061365.70,18859
,BHARATRAS,EQ,      9539.35,                 59271516.35,6255
,BHARATWIRE,EQ,        27.15,                  1029351.25,37354
,BHEL,EQ,        34.25,               2009401614.80,58177274
,BIGBLOC,BE,       109.00,                   585003.00,5367
,BIL,EQ,       142.10,                   185528.75,1299
,BILENERGY,BZ,          .80,                   172730.50,219788
,BINDALAGRO,EQ,        14.30,                  2764740.15,184509
,BIOFILCHEM,BE,       265.80,                 23273979.60,87562
,BIRLACABLE,EQ,        56.85,                  4734025.80,81620
,BIRLACORPN,EQ,       763.70,                233073103.15,304027
,BIRLAMONEY,EQ,        43.55,                  6542568.00,149052
,BIRLATYRE,EQ,        21.15,                  4709233.00,221404
,BKMINDST,BE,          .85,                     9190.90,10351
,BLBLIMITED,EQ,         5.00,                    57024.65,11540
,BLISSGVS,EQ,       171.70,                 79857895.35,461372
,BLKASHYAP,EQ,         7.90,                   651676.00,80659
,BLS,EQ,        94.50,                 35185263.30,381146
,BLUEDART,EQ,      3919.00,                 48981846.90,12437
,BLUESTARCO,EQ,       825.10,                258999087.20,311029
,BODALCHEM,EQ,        76.45,                174839373.40,2326429
,BOHRA,SM,         1.10,                     2200.00,2000
,BOMDYEING,EQ,        73.45,                397243126.85,5366601
,BOROLTD,EQ,       165.80,                 19858700.80,118504
,BORORENEW,EQ,       131.95,                 56436648.50,421364
,BPL,EQ,        24.55,                  3270063.20,132450
,BRFL,EQ,         9.80,                  1320184.40,131756
,BRIGADE,EQ,       231.00,                 49441756.65,214489
,BRIGHT,SM,         6.85,                    40200.00,6000
,BRITANNIA,N2,        32.03,                   340576.61,10645
,BRNL,EQ,        30.15,                  3840926.80,126166
