,14-Jan-2021
The Nifty witnessed an intraday movement of about 146.3 points.The closing index was 0.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 70195.9
, Traded Quantity (in Lakhs), 29426.75
, Number of Trades, 19096836
, Total Market Capitalisation (Rs. Crores), 19628052.71

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     14564.85,     14550.05,     14617.80,     14471.50,     14595.60,30.75
,NIFTY50 EQL Wgt,     15519.35,     15537.00,     15573.25,     15420.10,     15552.60,33.25
,NIFTY100 EQL Wgt,     16497.25,     16535.30,     16567.45,     16413.85,     16548.60,51.35
,NIFTY100 LowVol30,     11405.15,     11410.00,     11446.30,     11327.95,     11427.60,22.45
,NIFTY Alpha 50,     20389.75,     20471.25,     20537.30,     20249.95,     20502.30,112.55
,NIFTY MIDCAP 150,      8328.30,      8349.35,      8371.60,      8289.80,      8335.15,6.85
,NIFTY SMLCAP 50,      3754.15,      3771.00,      3789.65,      3731.25,      3780.10,25.95
,NIFTY SMLCAP 250,      6360.45,      6383.90,      6395.45,      6331.35,      6388.40,27.95
,NIFTY MIDSML 400,      7624.25,      7646.20,      7661.10,      7589.35,      7638.90,14.65
,NIFTY200 QUALTY30,     12815.95,     12822.45,     12847.35,     12716.00,     12829.45,13.5
,Nifty FinSrv25 50,     15289.40,     15295.90,     15355.65,     15222.70,     15284.05,-5.35
,NIFTY AlphaLowVol,     14361.10,     14366.75,     14456.65,     14260.75,     14428.50,67.4
,Nifty200Momentm30,     14468.60,     14458.40,     14458.40,     14274.95,     14395.10,-73.5
,Nifty100ESGSecLdr,      2510.05,      2507.85,      2525.80,      2493.25,      2521.80,11.75
,Nifty IT,     27004.30,     26804.65,     27176.50,     26245.10,     26965.55,-38.75
,Nifty Next 50,     34156.00,     34264.55,     34357.05,     34018.00,     34318.45,162.45
,Nifty Bank,     32574.65,     32526.70,     32718.95,     32442.35,     32519.75,-54.9
,NIFTY MIDCAP 100,     22155.25,     22198.00,     22271.55,     22041.10,     22169.40,14.15
,Nifty 500,     12041.10,     12043.40,     12081.55,     11976.15,     12069.50,28.4
,Nifty 100,     14694.95,     14688.20,     14750.00,     14608.10,     14731.15,36.2
,Nifty Midcap 50,      6385.15,      6398.80,      6424.55,      6345.75,      6390.90,5.75
,Nifty Realty,       337.60,       338.30,       341.60,       334.75,       337.40,-.2
,Nifty Infra,      3894.70,      3911.75,      3928.40,      3888.00,      3922.60,27.9
,Nifty Energy,     17430.15,     17531.70,     17694.95,     17463.00,     17669.40,239.25
,Nifty FMCG,     34617.60,     34669.10,     34942.20,     34616.00,     34885.70,268.1
,Nifty MNC,     16328.50,     16368.05,     16413.90,     16287.30,     16388.50,60
,Nifty Pharma,     13122.55,     13140.40,     13278.60,     13020.30,     13232.55,110
,Nifty PSE,      3029.50,      3043.95,      3057.95,      3024.40,      3050.70,21.2
,Nifty PSU Bank,      1972.65,      1969.90,      2002.45,      1958.55,      1978.10,5.45
,Nifty Serv Sector,     20688.55,     20628.25,     20741.25,     20479.40,     20675.70,-12.85
,India VIX,23.2925,23.2925,23.7025,22.8075,23.0275,-0.2650
,Nifty Auto,     10208.55,     10237.30,     10285.25,     10148.95,     10238.30,29.75
,Nifty Metal,      3523.25,      3521.05,      3533.95,      3471.10,      3487.40,-35.85
,Nifty Media,      1759.05,      1767.30,      1778.65,      1748.40,      1754.95,-4.1
,NIFTY SMLCAP 100,      7433.75,      7466.60,      7495.10,      7398.50,      7481.30,47.55
,Nifty 200,      7558.70,      7557.35,      7584.05,      7516.10,      7575.65,16.95
,Nifty Div Opps 50,      3041.95,      3042.50,      3061.65,      3023.55,      3058.65,16.7
,Nifty Commodities,      3999.45,      4013.35,      4024.55,      3979.35,      4014.80,15.35
,Nifty Consumption,      6125.70,      6142.85,      6159.90,      6106.50,      6136.80,11.1
,Nifty Fin Service,     15624.05,     15615.35,     15692.70,     15567.60,     15608.95,-15.1
,Nifty50 Div Point,        82.51,        83.98,        83.98,        83.98,        83.98,1.47
,Nifty100 Liq 15,      3513.90,      3517.55,      3528.35,      3500.90,      3515.85,1.95
,Nifty CPSE,      1767.40,      1782.25,      1787.30,      1763.20,      1772.75,5.35
,Nifty GrowSect 15,      7132.00,      7134.20,      7166.05,      7122.40,      7151.05,19.05
,Nifty50 PR 2x Lev,      6575.00,      6561.15,      6621.80,      6491.05,      6602.25,27.25
,Nifty50 PR 1x Inv,       302.00,       302.35,       303.95,       300.95,       301.40,-.6
,Nifty50 TR 2x Lev,      8735.25,      8718.55,      8799.10,      8625.45,      8773.15,37.9
,Nifty50 TR 1x Inv,       262.15,       262.40,       263.80,       261.20,       261.60,-.55
,Nifty50 Value 20,      7322.35,      7303.60,      7384.20,      7242.80,      7358.05,35.7
,Nifty Mid Liq 15,      5591.75,      5618.10,      5641.55,      5571.10,      5623.90,32.15
,Nifty Pvt Bank,     17803.30,     17782.25,     17912.65,     17742.45,     17782.10,-21.2
,NIFTY100 Qualty30,      3435.65,      3435.75,      3447.20,      3410.20,      3441.55,5.9
,Nifty GS 8 13Yr,      2252.35,      2252.72,      2255.46,      2252.62,      2255.46,3.11
,Nifty GS 10Yr,      2027.90,      2028.23,      2031.41,      2028.23,      2031.41,3.51
,Nifty GS 10Yr Cln,       963.51,       963.51,       965.03,       963.51,       965.03,1.52
,Nifty GS 4 8Yr,      2396.75,      2397.12,      2399.37,      2396.36,      2398.19,1.44
,Nifty GS 11 15Yr,      2433.60,      2434.03,      2437.78,      2433.04,      2436.53,2.93
,Nifty GS 15YrPlus,      2697.40,      2697.89,      2697.95,      2697.89,      2697.95,.55
,Nifty GS Compsite,      2294.71,      2295.09,      2297.34,      2294.57,      2297.02,2.31

,ADVANCES,912
,DECLINES,1022
,UNCHANGED,87

,Total securities that have hit their price bands today,356

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      1387.15,      1370.50,-1.2,3741.12
,ANIKINDS,BE,        16.25,                   301144.80,18345
,ANKITMETAL,BE,         1.55,                     9300.00,6000
,ANSALAPI,BE,        10.10,                  5986565.30,621806
,ANSALHSG,EQ,         7.45,                   531791.65,72126
,ANUP,EQ,       727.65,                 10852670.55,14960
,APARINDS,EQ,       384.05,                 21730137.75,56676
,APCL,EQ,       220.20,                 70797597.20,318782
,APCOTEXIND,EQ,       168.95,                 13106443.95,76984
,APEX,EQ,       300.85,                 13410794.20,44390
,APLAPOLLO,EQ,       956.75,                220575948.45,229758
,APLLTD,EQ,      1090.45,                130699317.45,120336
,APOLLO,EQ,       142.60,                102729168.20,715308
,APOLLOHOSP,EQ,      2512.00,               1512977355.75,603193
,APOLLOPIPE,EQ,       742.60,                 61238614.25,81426
,APOLLOTYRE,EQ,       190.00,               1479377657.50,7759849
,APOLSINHOT,EQ,       578.15,                   284036.00,492
,APTECHT,EQ,       155.10,                147106848.35,948282
,ARCHIDPLY,BE,        36.75,                   837866.60,22616
,ARCHIES,EQ,        14.05,                   583310.75,41318
,ARCOTECH,BZ,         2.80,                   159943.55,58055
,ARENTERP,EQ,        12.65,                    57369.05,4530
,ARIES,EQ,       105.05,                 22507904.60,212700
,ARIHANT,EQ,        23.85,                   417095.45,17820
,ARIHANTSUP,EQ,        40.45,                  1371992.60,34884
,ARMANFIN,EQ,       701.50,                  3518153.55,4995
,AROGRANITE,EQ,        51.90,                  6737290.10,129922
,ARROWGREEN,EQ,        64.85,                  4835989.05,74447
,ARSHIYA,EQ,        28.35,                  7039067.05,237453
,ARSSINFRA,EQ,        25.30,                   927588.25,36055
,ARTEMISMED,BE,       231.00,                   517985.25,2234
,ARVIND,EQ,        53.85,                 83417732.55,1536688
,ARVINDFASN,EQ,       168.85,                 58229944.30,343441
,ARVSMART,EQ,       112.20,                 21887358.90,194373
,ASAHIINDIA,EQ,       278.40,                 12512001.30,44612
,ASAHISONG,EQ,       237.45,                  3869882.90,16236
,ASAL,EQ,        35.35,                   207928.70,5882
,ASALCBR,EQ,       333.90,                 21006855.55,63332
,ASCOM,SM,        43.00,                   172000.00,4000
,ASHAPURMIN,EQ,       120.30,                 50023985.80,415861
,ASHIANA,EQ,       100.25,                  6541186.10,64793
,ASHIMASYN,BE,        13.50,                   347799.70,25975
,ASHOKA,EQ,        95.00,                 72375312.90,763223
,ASHOKLEY,EQ,       119.10,               3380222195.10,28128837
,ASIANHOTNR,EQ,        77.00,                  1332966.65,17029
,ASIANTILES,EQ,       293.90,                 67949147.05,232190
,ASPINWALL,EQ,       169.80,                   393827.70,2343
,ASTEC,EQ,      1255.50,                 28329391.90,22624
,ASTERDM,EQ,       162.60,                 23924669.65,146891
,ASTRAL,EQ,      1699.70,                551634253.20,321723
,ASTRAMICRO,EQ,       127.40,                 89284353.25,706402
,ASTRAZEN,EQ,      4231.00,                209687736.80,49634
,ASTRON,EQ,        50.75,                   922089.45,18113
,ATFL,EQ,       830.05,                109746219.40,132032
,ATGL,EQ,       361.10,                341838659.50,949106
,ATLANTA,EQ,         9.25,                   108469.10,11551
,ATLASCYCLE,BZ,        39.20,                   136499.75,3445
,ATUL,EQ,      6628.25,                159957644.20,24141
,ATULAUTO,EQ,       189.90,                 20331215.75,106562
,AUBANK,EQ,       914.00,                934107497.15,1015700
,AURIONPRO,EQ,        80.20,                  1868918.35,23079
,AUSOMENT,EQ,        48.95,                  1173715.70,23780
,AUTOAXLES,EQ,      1065.30,                 11261233.10,10532
,AUTOIND,EQ,        34.85,                   581201.00,16699
,AUTOLITIND,EQ,        37.20,                 12258063.50,315479
,AVADHSUGAR,EQ,       213.10,                 13128477.60,61073
,AVANTIFEED,EQ,       522.55,                 86506911.15,165751
,AVROIND,SM,        41.50,                   166000.00,4000
,AVTNPL,EQ,        47.35,                 10334936.10,217070
,AWHCL,EQ,       368.35,                 57237492.10,154429
,AXISBNKETF,EQ,       325.58,                   246357.29,758
,AXISCADES,EQ,        55.85,                  1943186.55,34995
,AXISGOLD,EQ,        42.75,                  7585428.52,177305
,AXISNIFTY,EQ,       151.06,                   349003.22,2317
,AYMSYNTEX,BE,        44.70,                   961180.80,21953
,BAFNAPH,BE,       144.45,                   360315.50,2459
,BAGFILMS,BE,         3.20,                   402638.70,124246
,BAJAJCON,EQ,       222.65,                 44028514.15,197220
,BAJAJELEC,EQ,       767.30,               1945907536.15,2375802
,BAJAJHIND,EQ,         6.75,                 34528991.75,5079324
,BALAJITELE,EQ,        68.10,                  9897824.25,145495
,BALAMINES,EQ,      1152.90,                168383974.45,145627
,BALAXI,EQ,       643.05,                  1844225.70,2929
,BALKRISHNA,BE,        22.65,                   529505.50,23052
,BALKRISIND,EQ,      1711.05,                975945894.65,574159
,BALLARPUR,BZ,         1.05,                  8838892.65,8161366
,BALMLAWRIE,EQ,       124.10,                 48108807.85,387800
,BALPHARMA,BE,        56.45,                   322209.25,5769
,BALRAMCHIN,EQ,       182.20,                179838913.80,973810
,BANARBEADS,EQ,        59.60,                   469647.65,7859
,BANARISUG,EQ,      1528.10,                  2242730.10,1477
,BANCOINDIA,EQ,       141.10,                 15359526.55,108738
,BANG,EQ,        28.75,                   145898.05,4989
,BANKA,EQ,        59.55,                   724683.00,12077
,BANKBEES,EQ,       327.25,                128469968.30,391995
,BANKINDIA,EQ,        54.85,                519604518.50,9496409
,BANSWRAS,EQ,       122.10,                  8014204.30,67407
,BARTRONICS,BZ,         4.25,                     7807.25,1837
,BASF,EQ,      1661.80,                 63702993.15,37958
,BASML,BE,       155.05,                  3886643.40,24889
,BATAINDIA,EQ,      1632.05,                748935505.75,456894
,BAYERCROP,EQ,      5692.35,                135677315.80,23933
,BBL,EQ,       923.70,                 11158155.75,12154
,BBTC,EQ,      1305.75,                 79556812.30,60618
,BBTCL,SM,        71.00,                  2529750.00,36000
,BCG,EQ,         7.85,                 27707639.25,3541434
,BCONCEPTS,SM,        28.00,                   253350.00,9000
,BCP,BE,         6.70,                   533118.70,79957
,BDL,EQ,       348.15,                544904999.70,1555183
,BEARDSELL,EQ,         9.05,                   324782.30,35854
,BECTORFOOD,EQ,       438.85,                544906007.10,1253003
,BEDMUTHA,EQ,        25.80,                   553876.40,20956
,BEL,EQ,       139.15,               4360534437.55,31434222
,BEML,EQ,       962.80,                282340940.45,292173
,BEPL,EQ,       163.30,                223275719.05,1370305
,BETA,SM,       130.10,                   204880.00,1600
,BFINVEST,EQ,       302.95,                 16437680.65,53692
,BFUTILITIE,EQ,       304.35,                163897090.05,534700
,BGRENERGY,BE,        45.80,                  1386000.30,30393
,BHAGERIA,EQ,       160.95,                  2787476.45,17289
,BHAGYANGR,BE,        33.55,                   548337.80,16434
,BHAGYAPROP,EQ,        24.80,                   880888.85,35502
,BHANDARI,EQ,         3.90,                  2733452.65,702659
,BHARATFORG,EQ,       622.45,               1606115787.95,2579015
,BHARATGEAR,BE,        75.00,                   790531.15,10561
,BHARATRAS,EQ,     10479.15,                 62397607.00,5939
,BHARATWIRE,EQ,        35.25,                   717973.55,19988
,BHEL,EQ,        40.20,               1407640681.45,34995707
,BIGBLOC,BE,       102.20,                  1538023.35,15317
,BIL,EQ,       149.65,                   609766.25,4061
,BILENERGY,BZ,          .90,                  1306869.35,1439620
,BINDALAGRO,EQ,        18.95,                  1267328.30,66745
,BIOFILCHEM,BE,       155.80,                 16935932.15,104036
,BIRLACABLE,EQ,        67.40,                 10532678.05,155465
,BIRLACORPN,EQ,       723.15,                160576755.60,220844
,BIRLAMONEY,EQ,        49.95,                 15585858.25,310127
,BIRLATYRE,EQ,        28.25,                  8532759.15,300349
,BKMINDST,BE,         1.35,                    80017.05,58702
,BLBLIMITED,EQ,         5.70,                    83743.60,14542
,BLISSGVS,EQ,       205.75,                175645213.05,853191
,BLKASHYAP,BE,        11.85,                   897289.85,76492
,BLS,EQ,       113.10,                 12455723.15,109231
,BLUECOAST,BE,         4.60,                       13.90,3
,BLUEDART,EQ,      3972.70,                 27605733.25,6971
,BLUESTARCO,EQ,       787.20,                 19551011.05,24741
,BODALCHEM,EQ,        77.10,                 37419657.35,481452
,BOHRA,SM,         1.80,                     3600.00,2000
,BOMDYEING,EQ,        79.70,                114804097.90,1436089
,BOROLTD,EQ,       205.10,                 40601797.60,196605
,BORORENEW,EQ,       273.35,                113208697.60,412204
,BPL,EQ,        23.30,                   931506.95,39821
