,26-Jul-2021
The Nifty witnessed an intraday movement of about 96.35 points.The closing index was 0.2 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 61528.46
, Traded Quantity (in Lakhs), 30087.53
, Number of Trades, 22351276
, Total Market Capitalisation (Rs. Crores), 23327563.15

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15856.05,     15849.30,     15893.35,     15797.00,     15824.45,-31.6
,NIFTY50 EQL Wgt,     17846.70,     17848.20,     17903.85,     17801.85,     17848.05,1.35
,NIFTY100 EQL Wgt,     19125.10,     19145.55,     19180.60,     19075.15,     19135.25,10.15
,NIFTY100 LowVol30,     12475.75,     12475.20,     12529.15,     12452.05,     12480.75,5
,NIFTY Alpha 50,     28522.80,     28550.90,     28591.80,     28332.05,     28502.15,-20.65
,NIFTY MIDCAP 150,     10418.50,     10441.40,     10482.75,     10389.60,     10423.15,4.65
,NIFTY SMLCAP 50,      5257.70,      5258.20,      5279.90,      5236.90,      5262.60,4.9
,NIFTY SMLCAP 250,      9026.25,      9043.70,      9099.50,      9018.65,      9059.20,32.95
,NIFTY MIDSML 400,      9914.25,      9935.20,      9981.25,      9898.25,      9928.85,14.6
,NIFTY200 QUALTY30,     13723.50,     13723.30,     13793.50,     13708.10,     13737.95,14.45
,Nifty FinSrv25 50,     16682.55,     16661.25,     16705.80,     16558.35,     16639.15,-43.4
,NIFTY AlphaLowVol,     16141.85,     16141.85,     16212.15,     16115.05,     16159.60,17.75
,Nifty200Momentm30,     18215.20,     18273.00,     18338.80,     18149.85,     18246.95,31.75
,Nifty100ESGSecLdr,      2696.35,      2694.40,      2701.15,      2687.75,      2689.75,-6.6
,Nifty IT,     29894.30,     29886.20,     30139.20,     29859.60,     29940.40,46.1
,Nifty Next 50,     39312.35,     39371.80,     39459.75,     39167.95,     39351.30,38.95
,Nifty Bank,     35034.40,     34947.85,     35138.20,     34669.55,     34949.70,-84.7
,NIFTY MIDCAP 100,     27584.80,     27639.10,     27758.70,     27486.10,     27573.85,-10.95
,Nifty 500,     13687.00,     13692.20,     13731.10,     13648.45,     13675.10,-11.9
,Nifty 100,     16119.10,     16117.25,     16156.20,     16066.15,     16094.20,-24.9
,Nifty Midcap 50,      7574.35,      7592.60,      7614.50,      7537.55,      7549.05,-25.3
,Nifty Realty,       401.05,       401.15,       406.90,       396.20,       397.20,-3.85
,Nifty Infra,      4456.35,      4455.30,      4474.25,      4435.70,      4446.50,-9.85
,Nifty Energy,     19503.80,     19491.50,     19496.55,     19273.45,     19300.10,-203.7
,Nifty FMCG,     36558.65,     36639.15,     36746.50,     36459.05,     36486.75,-71.9
,Nifty MNC,     17755.85,     17773.05,     17819.65,     17688.20,     17779.35,23.5
,Nifty Pharma,     14597.85,     14604.65,     14711.20,     14591.85,     14652.55,54.7
,Nifty PSE,      3597.90,      3597.25,      3614.20,      3580.45,      3589.90,-8
,Nifty PSU Bank,      2428.05,      2428.95,      2429.95,      2405.55,      2408.55,-19.5
,Nifty Serv Sector,     22015.30,     21980.65,     22067.35,     21893.80,     21989.00,-26.3
,India VIX,11.7625,11.7625,12.5400,10.3950,12.4500,0.6875
,Nifty Auto,     10201.35,     10204.65,     10212.65,     10127.15,     10137.95,-63.4
,Nifty Metal,      5353.80,      5402.60,      5421.90,      5350.00,      5387.40,33.6
,Nifty Media,      1754.00,      1760.10,      1786.35,      1755.95,      1759.55,5.55
,NIFTY SMLCAP 100,     10406.95,     10416.10,     10462.25,     10380.75,     10434.75,27.8
,Nifty 200,      8422.70,      8424.05,      8446.30,      8395.25,      8411.00,-11.7
,Nifty Div Opps 50,      3396.20,      3397.05,      3410.55,      3390.65,      3395.90,-.3
,Nifty Commodities,      5303.25,      5320.40,      5328.25,      5283.75,      5307.00,3.75
,Nifty Consumption,      6433.40,      6435.15,      6460.05,      6419.50,      6426.25,-7.15
,Nifty Fin Service,     16611.05,     16574.50,     16632.10,     16462.55,     16574.85,-36.2
,Nifty50 Div Point,        89.87,        89.87,        89.87,        89.87,        89.87,0
,Nifty100 Liq 15,      4086.60,      4087.85,      4096.10,      4060.65,      4072.90,-13.7
,Nifty CPSE,      2040.60,      2039.00,      2055.10,      2031.40,      2042.65,2.05
,Nifty GrowSect 15,      7671.30,      7683.15,      7701.85,      7657.40,      7663.35,-7.95
,Nifty50 PR 2x Lev,      7536.95,      7528.50,      7570.40,      7481.05,      7504.90,-32.05
,Nifty50 PR 1x Inv,       277.75,       277.90,       278.80,       277.15,       278.35,.6
,Nifty50 TR 2x Lev,     10175.30,     10163.90,     10220.45,     10099.85,     10132.05,-43.25
,Nifty50 TR 1x Inv,       239.15,       239.30,       240.05,       238.65,       239.70,.55
,Nifty50 Value 20,      8131.80,      8140.55,      8164.45,      8112.20,      8118.45,-13.35
,Nifty Mid Liq 15,      6388.10,      6386.05,      6422.20,      6314.00,      6339.20,-48.9
,Nifty Pvt Bank,     18287.15,     18281.05,     18386.90,     18137.90,     18270.80,-16.35
,NIFTY100 Qualty30,      3648.80,      3647.80,      3662.85,      3643.90,      3647.70,-1.1
,Nifty GS 8 13Yr,      2261.96,      2262.35,      2262.75,      2262.01,      2262.69,.73
,Nifty GS 10Yr,      2045.98,      2046.33,      2046.64,      2044.08,      2045.00,-.98
,Nifty GS 10Yr Cln,       942.11,       942.11,       942.26,       941.08,       941.50,-.61
,Nifty GS 4 8Yr,      2434.91,      2435.30,      2437.56,      2435.30,      2436.39,1.48
,Nifty GS 11 15Yr,      2419.72,      2420.17,      2422.11,      2420.17,      2420.56,.84
,Nifty GS 15YrPlus,      2582.03,      2582.53,      2590.21,      2582.53,      2588.93,6.9
,Nifty GS Compsite,      2316.27,      2316.67,      2318.83,      2316.67,      2317.72,1.45

,ADVANCES,969
,DECLINES,1062
,UNCHANGED,71

,Total securities that have hit their price bands today,452

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ZOMATO,EQ,       126.00,       140.65,11.63,3362.03
,AJANTPHARM,EQ,      2216.55,                275844512.85,124521
,AJMERA,BE,       309.70,                 18527285.30,59861
,AJOONI,EQ,        54.10,                  2102137.15,37586
,AKASH,EQ,       208.90,                  8166499.35,38143
,AKG,EQ,        26.05,                   160140.85,6252
,AKSHARCHEM,EQ,       444.50,                 18791347.85,42363
,AKSHOPTFBR,BE,        11.75,                  9808623.95,867002
,AKZOINDIA,EQ,      2265.45,                 18511578.75,8112
,ALANKIT,EQ,        20.55,                 86451200.80,4201765
,ALBERTDAVD,EQ,       561.85,                 16044463.00,28345
,ALCHEM,BZ,         3.65,                    22711.85,6084
,ALEMBICLTD,EQ,       129.20,                 61130827.05,468805
,ALICON,EQ,       816.85,                 26177958.90,31446
,ALKALI,EQ,        92.25,                 24486779.10,265522
,ALKYLAMINE,EQ,      4407.00,               2902192183.85,664768
,ALLCARGO,EQ,       188.10,                977308515.40,5229920
,ALLSEC,EQ,       441.30,                 11947117.90,26735
,ALMONDZ,EQ,        61.45,                   708461.05,11433
,ALOKINDS,EQ,        24.70,                270492176.70,10880465
,ALPA,EQ,        49.80,                  2566472.80,51307
,ALPHAGEO,EQ,       310.40,                  5952525.40,19073
,ALPSINDUS,BE,         3.00,                    78455.55,26118
,AMARAJABAT,EQ,       724.20,                348935637.25,480189
,AMBANIORG,SM,        74.10,                   444800.00,6000
,AMBER,EQ,      3020.05,                107786542.80,35771
,AMBICAAGAR,EQ,        19.15,                   534988.00,28101
,AMBIKCO,EQ,      1388.55,                 34850969.65,24823
,AMDIND,EQ,        31.75,                  1356502.30,42704
,AMJLAND,EQ,        33.25,                  2415021.00,72641
,AMRUTANJAN,EQ,       670.25,                 94099406.45,140859
,ANANTRAJ,BE,        69.00,                 12188583.30,178242
,ANDHRACEMT,BE,        26.65,                 46878462.30,1868855
,ANDHRAPAP,EQ,       248.20,                  8541679.15,34478
,ANDHRSUGAR,EQ,       546.30,                 72047309.35,130246
,ANGELBRKG,EQ,      1229.60,                771512668.10,621432
,ANIKINDS,EQ,        22.80,                   938441.00,40806
,ANKITMETAL,BE,         1.90,                   237295.45,127071
,ANMOL,EQ,       164.65,                  4302936.20,25931
,ANSALAPI,EQ,         8.70,                  2550237.30,286054
,ANSALHSG,EQ,         8.40,                  3531735.15,422162
,ANTGRAPHIC,BE,          .75,                   103715.45,137868
,ANUP,EQ,       961.40,                 70557718.35,72917
,ANURAS,EQ,       752.30,                 50272577.15,66411
,APARINDS,EQ,       610.15,                323664140.70,517271
,APCL,EQ,       509.50,                146182450.45,290512
,APCOTEXIND,EQ,       342.95,                130947943.55,381219
,APEX,EQ,       374.90,                 47678022.70,127811
,APLAPOLLO,EQ,      1609.65,                264710554.40,165432
,APLLTD,EQ,       909.80,                708106895.25,767991
,APOLLO,EQ,       116.05,                 12542888.85,107295
,APOLLOHOSP,EQ,      4100.35,               8096473862.95,1982531
,APOLLOPIPE,EQ,      1198.50,                593172379.60,499652
,APOLLOTYRE,EQ,       222.25,                653953391.10,2936002
,APOLSINHOT,EQ,       780.90,                  1043916.30,1335
,APTECHT,EQ,       270.90,                435245678.80,1611720
,ARCHIDPLY,BE,        33.80,                   223535.00,6599
,ARCHIES,BE,        25.10,                  1570682.70,62577
,ARCOTECH,BZ,         1.85,                   195995.20,106005
,ARENTERP,EQ,        17.90,                    66238.05,3770
,ARIES,EQ,       174.45,                 23865715.30,134733
,ARIHANT,EQ,        26.00,                   300100.80,11510
,ARIHANTCAP,EQ,       163.05,                  6769640.60,41086
,ARIHANTSUP,EQ,        91.90,                 12585105.55,136557
,ARMANFIN,EQ,       730.35,                134913645.70,177863
,AROGRANITE,EQ,        67.75,                 11699334.60,169899
,ARROWGREEN,EQ,       151.40,                   952741.00,6285
,ARSHIYA,EQ,        30.80,                  5284472.30,173132
,ARSSINFRA,EQ,        31.90,                  2072725.65,64765
,ARTEMISMED,EQ,       376.50,                  8785049.75,23551
,ARVEE,BE,       105.00,                   166047.05,1581
,ARVIND,EQ,       102.10,                217910841.85,2125848
,ARVINDFASN,EQ,       214.20,               1137131568.55,5297296
,ARVSMART,EQ,       136.70,                 65852190.75,480201
,ASAHIINDIA,EQ,       361.65,                 21493029.15,58987
,ASAHISONG,EQ,       373.25,                 19342673.60,52277
,ASAL,BE,        67.20,                  1526579.65,23069
,ASALCBR,EQ,       465.45,                 16350135.50,34865
,ASHAPURMIN,BE,       138.55,                  8377976.85,60745
,ASHIANA,EQ,       165.20,                 72385557.55,434413
,ASHIMASYN,EQ,        20.00,                  2053091.10,102368
,ASHOKA,EQ,       102.65,                102368322.80,992280
,ASHOKLEY,EQ,       121.85,                860892910.40,7011161
,ASIANHOTNR,EQ,        92.35,                 10924360.60,116849
,ASIANTILES,EQ,       176.45,                 45317744.75,254891
,ASLIND,SM,        19.50,                    78000.00,4000
,ASPINWALL,EQ,       250.40,                 77774403.95,300112
,ASTEC,EQ,      1446.85,                 88129729.60,61474
,ASTERDM,EQ,       160.15,                 64960834.85,403082
,ASTRAL,EQ,      2051.60,                929170380.40,448564
,ASTRAMICRO,EQ,       174.50,                152334852.75,875256
,ASTRAZEN,EQ,      3473.40,                 31623790.45,9067
,ASTRON,EQ,        64.20,                 44077123.35,674822
,ATFL,EQ,       994.10,                 35454889.70,35592
,ATGL,BE,       907.45,                173324002.75,194179
,ATLANTA,BE,        15.05,                   406451.55,26675
,ATLASCYCLE,BZ,        30.35,                    64754.70,2132
,ATUL,EQ,      9079.35,                409839248.40,44989
,ATULAUTO,EQ,       212.90,                 29963768.65,139878
,AUBANK,EQ,      1179.50,               1436303731.05,1219279
,AURDIS,SM,        38.00,                   152000.00,4000
,AURIONPRO,EQ,       226.25,                198121769.70,866591
,AUSOMENT,BE,        95.60,                  1076017.00,11313
,AUTOAXLES,EQ,      1405.35,                 99118005.20,69638
,AUTOIND,EQ,        56.90,                  3816240.25,67193
,AUTOLITIND,BZ,        16.60,                   177229.25,10656
,AVADHSUGAR,EQ,       479.95,                 62344363.20,127327
,AVANTIFEED,EQ,       637.50,                573963961.20,892347
,AVTNPL,EQ,        78.75,                 29438503.45,369177
,AWHCL,EQ,       337.35,                 27653419.90,81336
,AXISBNKETF,EQ,       348.90,                    90987.40,261
,AXISBPSETF,EQ,        10.16,                   538941.54,53002
,AXISCADES,EQ,        97.20,                 12221041.95,124335
,AXISGOLD,EQ,        41.36,                  4733339.26,114347
,AXISHCETF,EQ,        89.48,                  1042761.57,11696
,AXISNIFTY,EQ,       165.31,                   490288.64,2958
,AXISTECETF,EQ,       296.00,                   255879.71,866
,AYMSYNTEX,EQ,        74.55,                  2701495.60,35789
,BAFNAPH,EQ,       158.40,                  2174690.55,13630
,BAGFILMS,EQ,         3.85,                  1537689.30,401005
,BAJAJCON,EQ,       286.40,                115029233.85,398871
,BAJAJELEC,EQ,      1141.00,                341706113.45,301953
,BAJAJHIND,BE,        18.05,                176632259.95,9950759
,BALAJITELE,EQ,        71.75,                206497762.75,2776138
,BALAMINES,EQ,      3254.05,               1422953741.15,433907
,BALAXI,EQ,       605.20,                  2918399.90,4754
,BALKRISHNA,EQ,        30.45,                   301828.60,9930
,BALKRISIND,EQ,      2335.70,                336344243.20,143687
,BALLARPUR,BZ,         1.55,                  3997419.20,2556681
,BALMLAWRIE,EQ,       136.65,                 33611335.30,245408
,BALPHARMA,EQ,        96.90,                  1966618.60,20262
,BALRAMCHIN,EQ,       340.05,                222286677.90,647183
,BANARBEADS,EQ,        77.00,                 17648440.70,221848
,BANARISUG,EQ,      1826.70,                 10498947.90,5698
,BANCOINDIA,EQ,       161.20,                 36339462.85,221306
,BANG,BE,        41.35,                  1164155.65,28120
,BANKA,EQ,        74.50,                  1192609.20,15578
,BANKBEES,EQ,       351.52,                111251331.99,316537
,BANKINDIA,EQ,        71.85,                 90983940.70,1260084
,BANSWRAS,EQ,       205.35,                  4357149.95,20923
,BARBEQUE,EQ,       878.95,                 26445823.45,29959
,BARTRONICS,BZ,         3.60,                    83579.20,23203
,BASF,EQ,      2818.05,                285703337.35,101610
,BASML,EQ,        94.10,                 45982408.55,500393
,BATAINDIA,EQ,      1577.20,                453940866.65,285577
,BAYERCROP,EQ,      5838.70,                 91186844.40,15493
,BBL,EQ,      1353.60,                 17916090.60,13147
,BBTC,EQ,      1254.30,                 72774437.05,57640
,BBTCL,SM,        78.50,                   235500.00,3000
,BCG,BE,        50.55,                  8211190.35,162437
,BCLIND,EQ,       248.25,                 16210411.40,64559
,BCONCEPTS,SM,        30.40,                   182400.00,6000
,BCP,EQ,         3.85,                  2436119.80,623402
,BDL,EQ,       402.45,                238496061.90,590051
,BEARDSELL,EQ,        14.00,                   179777.35,12751
,BECTORFOOD,EQ,       449.85,                154315490.30,339228
,BEDMUTHA,BE,        36.40,                   708380.40,19461
,BEL,EQ,       184.60,                841154145.65,4584420
,BEML,EQ,      1308.05,                420730694.80,320992
,BEPL,EQ,       186.85,                760776307.45,4150860
,BESTAGRO,EQ,       479.70,                 14168061.95,29915
,BETA,SM,       379.00,                  5175240.00,13600
,BFINVEST,EQ,       393.75,                 19181528.65,48037
,BFUTILITIE,EQ,       489.25,                150213876.80,302633
,BGLOBAL,BE,         1.80,                    33229.80,18461
,BGRENERGY,EQ,        66.20,                 10863093.15,161684
,BHAGERIA,EQ,       287.95,                 36116340.85,125590
,BHAGYANGR,EQ,        49.10,                  1646960.60,33103
,BHAGYAPROP,EQ,        30.00,                   404074.90,13528
,BHANDARI,EQ,         3.45,                  1073665.50,310551
,BHARATFORG,EQ,       783.70,                987240163.75,1256853
,BHARATGEAR,EQ,       115.35,                  6733342.75,57390
