,10-Mar-2021
The Nifty witnessed an intraday movement of about 117.6 points.The closing index was 0.51 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 54391.69
, Traded Quantity (in Lakhs), 25450.88
, Number of Trades, 17560913
, Total Market Capitalisation (Rs. Crores), 20808441.96

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15098.40,     15202.15,     15218.45,     15100.85,     15174.80,76.4
,NIFTY50 EQL Wgt,     16326.50,     16452.05,     16465.45,     16331.10,     16428.90,102.4
,NIFTY100 EQL Wgt,     17245.80,     17366.35,     17383.25,     17243.60,     17338.20,92.4
,NIFTY100 LowVol30,     11373.80,     11458.05,     11459.40,     11390.05,     11431.60,57.8
,NIFTY Alpha 50,     22215.10,     22383.10,     22623.55,     22344.10,     22599.15,384.05
,NIFTY MIDCAP 150,      9100.55,      9171.35,      9195.45,      9124.80,      9169.25,68.7
,NIFTY SMLCAP 50,      4157.10,      4192.65,      4237.50,      4178.55,      4231.80,74.7
,NIFTY SMLCAP 250,      7112.40,      7165.15,      7191.45,      7139.10,      7187.95,75.55
,NIFTY MIDSML 400,      8390.80,      8455.10,      8476.25,      8416.40,      8462.20,71.4
,NIFTY200 QUALTY30,     12346.30,     12424.10,     12472.45,     12401.40,     12457.20,110.9
,Nifty FinSrv25 50,     16328.70,     16435.15,     16454.45,     16277.30,     16369.50,40.8
,NIFTY AlphaLowVol,     13925.00,     14013.20,     14074.40,     13986.75,     14052.95,127.95
,Nifty200Momentm30,     14597.20,     14719.60,     14825.25,     14674.05,     14802.60,205.4
,Nifty100ESGSecLdr,      2553.95,      2569.90,      2573.65,      2557.20,      2568.40,14.45
,Nifty IT,     25582.35,     25862.05,     26136.55,     25782.30,     26010.10,427.75
,Nifty Next 50,     34927.50,     35143.95,     35223.60,     34947.75,     35138.00,210.5
,Nifty Bank,     35865.65,     36112.25,     36176.90,     35764.35,     35938.30,72.65
,NIFTY MIDCAP 100,     24024.25,     24220.20,     24287.20,     24075.40,     24220.10,195.85
,Nifty 500,     12617.20,     12705.10,     12722.60,     12627.80,     12691.35,74.15
,Nifty 100,     15206.00,     15309.10,     15327.00,     15209.65,     15284.85,78.85
,Nifty Midcap 50,      6931.65,      6992.75,      7019.80,      6945.65,      6996.95,65.3
,Nifty Realty,       350.10,       353.85,       356.65,       350.85,       352.25,2.15
,Nifty Infra,      4247.50,      4278.65,      4281.30,      4234.40,      4256.30,8.8
,Nifty Energy,     19385.15,     19544.25,     19548.45,     19238.70,     19331.25,-53.9
,Nifty FMCG,     33215.85,     33393.05,     33424.50,     33220.00,     33402.75,186.9
,Nifty MNC,     16199.15,     16276.75,     16309.90,     16233.45,     16276.25,77.1
,Nifty Pharma,     12133.85,     12218.45,     12335.90,     12180.15,     12313.25,179.4
,Nifty PSE,      3277.60,      3308.70,      3309.15,      3250.30,      3270.50,-7.1
,Nifty PSU Bank,      2355.55,      2379.65,      2389.60,      2342.90,      2351.90,-3.65
,Nifty Serv Sector,     21308.85,     21452.80,     21491.60,     21326.30,     21416.55,107.7
,India VIX,22.4950,22.4950,22.4950,19.3150,20.7475,-1.7475
,Nifty Auto,     10464.25,     10525.75,     10613.60,     10511.15,     10559.30,95.05
,Nifty Metal,      3802.70,      3838.00,      3886.25,      3786.60,      3873.65,70.95
,Nifty Media,      1724.75,      1735.00,      1745.80,      1724.90,      1730.10,5.35
,NIFTY SMLCAP 100,      8323.90,      8392.20,      8446.05,      8362.60,      8439.35,115.45
,Nifty 200,      7865.90,      7920.60,      7930.90,      7869.65,      7909.55,43.65
,Nifty Div Opps 50,      3063.20,      3087.05,      3087.90,      3065.10,      3080.95,17.75
,Nifty Commodities,      4463.95,      4500.30,      4501.10,      4448.80,      4491.80,27.85
,Nifty Consumption,      5938.70,      5966.70,      5982.55,      5953.55,      5975.85,37.15
,Nifty Fin Service,     16649.75,     16745.45,     16772.55,     16610.35,     16689.70,39.95
,Nifty50 Div Point,       110.23,       110.23,       110.23,       110.23,       110.23,0
,Nifty100 Liq 15,      3790.20,      3815.10,      3821.25,      3786.25,      3810.20,20
,Nifty CPSE,      1892.15,      1905.35,      1906.20,      1870.20,      1881.90,-10.25
,Nifty GrowSect 15,      7252.10,      7287.95,      7299.40,      7247.10,      7268.95,16.85
,Nifty50 PR 2x Lev,      6972.35,      7067.50,      7081.00,      6974.55,      7042.25,69.9
,Nifty50 PR 1x Inv,       290.30,       288.35,       290.30,       288.05,       288.90,-1.4
,Nifty50 TR 2x Lev,      9297.95,      9424.85,      9442.90,      9300.95,      9391.20,93.25
,Nifty50 TR 1x Inv,       251.50,       249.80,       251.50,       249.55,       250.25,-1.25
,Nifty50 Value 20,      7382.15,      7445.25,      7466.25,      7410.00,      7447.70,65.55
,Nifty Mid Liq 15,      5841.50,      5892.70,      5925.55,      5873.75,      5904.10,62.6
,Nifty Pvt Bank,     19192.50,     19328.20,     19371.40,     19154.15,     19250.75,58.25
,NIFTY100 Qualty30,      3366.25,      3388.20,      3397.30,      3379.85,      3393.65,27.4
,Nifty GS 8 13Yr,      2201.44,      2201.82,      2202.88,      2199.88,      2199.88,-1.56
,Nifty GS 10Yr,      2003.01,      2003.34,      2005.31,      1997.22,      1998.03,-4.98
,Nifty GS 10Yr Cln,       942.79,       942.79,       943.73,       939.86,       940.24,-2.55
,Nifty GS 4 8Yr,      2355.59,      2355.95,      2357.38,      2354.07,      2354.48,-1.11
,Nifty GS 11 15Yr,      2352.46,      2352.89,      2354.19,      2350.03,      2350.26,-2.2
,Nifty GS 15YrPlus,      2606.90,      2607.39,      2607.39,      2603.63,      2605.34,-1.56
,Nifty GS Compsite,      2247.98,      2248.36,      2249.53,      2246.27,      2246.31,-1.67

,ADVANCES,1080
,DECLINES,851
,UNCHANGED,101

,Total securities that have hit their price bands today,321

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TATAMOTORS,EQ,       315.20,       321.45,1.98,1883.22
,AKZOINDIA,EQ,      2280.85,                 93099981.65,40848
,ALANKIT,EQ,        16.15,                  1785868.50,110262
,ALBERTDAVD,EQ,       402.40,                  1363572.95,3389
,ALEMBICLTD,EQ,       100.40,                 17838148.40,177137
,ALICON,EQ,       458.60,                  3275472.90,7176
,ALKALI,EQ,        52.95,                  1139963.40,21257
,ALKYLAMINE,EQ,      5088.00,                 86987231.40,17011
,ALLCARGO,EQ,       135.45,                 42854872.85,317647
,ALLSEC,EQ,       326.30,                  1409993.15,4324
,ALMONDZ,EQ,        30.00,                   276908.45,9252
,ALOKINDS,EQ,        21.60,                155437520.45,7151179
,ALPA,EQ,        39.75,                  2128534.90,53733
,ALPHAGEO,EQ,       209.40,                  2990442.45,14226
,ALPSINDUS,BE,         1.95,                    31158.45,16221
,AMARAJABAT,EQ,       896.10,                375233741.10,420121
,AMBANIORG,SM,        49.50,                    99000.00,2000
,AMBER,EQ,      3448.80,                440830706.65,126605
,AMBIKCO,EQ,       975.05,                 14988007.85,15347
,AMDIND,EQ,        22.15,                  2439905.80,107371
,AMJLAND,EQ,        25.90,                   127635.50,4935
,AMJUMBO,SM,         9.15,                   153600.00,16000
,AMRUTANJAN,EQ,       542.00,                 30287204.40,55461
,ANANTRAJ,EQ,        59.00,                 80371623.85,1406501
,ANDHRACEMT,EQ,         5.55,                  1348901.50,242004
,ANDHRAPAP,EQ,       240.80,                  9909262.35,40853
,ANDHRSUGAR,EQ,       318.20,                 13567425.65,42437
,ANGELBRKG,EQ,       328.10,                  8343674.20,25336
,ANIKINDS,EQ,        15.90,                   362704.15,22513
,ANKITMETAL,EQ,         1.25,                    84955.30,67984
,ANSALAPI,EQ,         8.30,                   839124.20,101808
,ANSALHSG,EQ,         6.20,                   637594.15,103957
,ANUP,EQ,       641.25,                 54774941.70,85426
,APARINDS,EQ,       455.95,                 27288585.45,59664
,APCL,EQ,       223.75,                  9564861.35,43102
,APCOTEXIND,EQ,       179.60,                 21561927.95,120086
,APEX,EQ,       239.75,                 23435713.30,97090
,APLAPOLLO,EQ,      1335.55,                477838011.70,366662
,APLLTD,EQ,       934.45,                269281265.05,288734
,APOLLO,EQ,       111.45,                 11110601.45,99530
,APOLLOHOSP,EQ,      2904.10,               1255872128.45,432551
,APOLLOPIPE,EQ,       738.40,                 10895974.05,14850
,APOLLOTYRE,EQ,       237.50,               1460321591.85,6197436
,APOLSINHOT,EQ,       545.70,                   340394.50,621
,APTECHT,EQ,       213.90,                 74200169.00,342808
,ARCHIDPLY,BE,        35.15,                   601539.85,17015
,ARCHIES,EQ,        12.00,                   488664.50,40372
,ARENTERP,EQ,        10.95,                    52487.50,4798
,ARIES,EQ,        98.80,                 16674783.25,169677
,ARIHANT,EQ,        21.65,                    47668.65,2170
,ARIHANTSUP,EQ,        38.05,                  1039354.55,27188
,ARMANFIN,EQ,       620.10,                 39049955.15,64051
,AROGRANITE,EQ,        46.55,                   463664.20,10040
,ARROWGREEN,BE,        79.55,                    85734.55,1070
,ARSHIYA,BE,        37.65,                  4536193.70,121143
,ARSSINFRA,EQ,        23.50,                   156646.05,6662
,ARTEMISMED,EQ,       231.95,                  1671686.30,7176
,ARVIND,EQ,        75.95,                 37589841.00,493388
,ARVINDFASN,EQ,       164.75,                 27356563.80,165302
,ARVSMART,EQ,        99.90,                  7211788.80,71734
,ASAHIINDIA,EQ,       333.25,                126915995.90,376562
,ASAHISONG,EQ,       281.05,                  8458302.40,30785
,ASAL,BE,        36.50,                   291853.80,7971
,ASALCBR,EQ,       369.20,                 17489520.70,47364
,ASHAPURMIN,EQ,       119.10,                 11688234.80,97672
,ASHIANA,EQ,       118.90,                 20912339.55,175451
,ASHIMASYN,EQ,        16.40,                  7549521.45,460358
,ASHOKA,EQ,       111.10,                 80727245.55,723455
,ASHOKLEY,EQ,       123.90,               2039477452.85,16392693
,ASIANHOTNR,EQ,        72.95,                   259805.45,3565
,ASIANTILES,EQ,       173.00,                 69108194.40,403406
,ASLIND,SM,        16.00,                    64000.00,4000
,ASPINWALL,EQ,       197.85,                  1513776.60,7639
,ASTEC,EQ,      1049.50,                 19899459.95,18848
,ASTERDM,EQ,       142.45,                 14197982.85,99420
,ASTRAL,EQ,      2501.60,               1205977792.40,494725
,ASTRAMICRO,EQ,       140.10,                 85395372.25,599359
,ASTRAZEN,EQ,      3414.80,                 41163424.05,12034
,ASTRON,EQ,        42.60,                  2695215.25,62694
,ATFL,EQ,       822.20,                  1653109.30,2011
,ATGL,EQ,       717.75,               1228295700.95,1729560
,ATLANTA,EQ,         7.35,                  1193582.00,161044
,ATUL,EQ,      6735.25,                 92913176.40,13798
,ATULAUTO,EQ,       197.30,                 15059605.50,75932
,AUBANK,EQ,      1253.25,               1469654524.20,1184012
,AURIONPRO,EQ,       120.65,                 78418752.95,668351
,AUSOMENT,EQ,        52.40,                   395034.25,7490
,AUTOAXLES,EQ,      1199.85,                  5180570.80,4327
,AUTOIND,EQ,        33.55,                   370569.70,11053
,AUTOLITIND,BZ,        30.45,                   319325.70,10641
,AVADHSUGAR,EQ,       207.30,                 15634194.50,75136
,AVANTIFEED,EQ,       481.80,                136416194.30,281442
,AVTNPL,EQ,        47.90,                  5687206.30,117467
,AWHCL,EQ,       297.10,                 14463991.55,48501
,AXISBNKETF,EQ,       357.37,                   247371.07,692
,AXISCADES,EQ,        48.00,                  2084984.60,43601
,AXISGOLD,EQ,        38.99,                  5361278.00,137320
,AXISNIFTY,EQ,       157.32,                   551768.06,3500
,AYMSYNTEX,EQ,        49.90,                  1037561.45,20884
,BAFNAPH,EQ,       132.95,                   752739.60,5662
,BAGFILMS,EQ,         2.70,                   262743.60,97811
,BAJAJCON,EQ,       277.25,                914838261.20,3334697
,BAJAJELEC,EQ,      1016.65,                118072222.10,116069
,BAJAJHIND,EQ,         7.45,                 42070222.30,5633164
,BALAJITELE,EQ,        63.35,                 12741361.00,199251
,BALAMINES,EQ,      1749.90,                117491329.55,66717
,BALAXI,EQ,       608.90,                  9202564.85,15572
,BALKRISHNA,BE,        21.50,                   113846.05,5016
,BALKRISIND,EQ,      1625.60,                572538449.60,355183
,BALLARPUR,BZ,         1.20,                  4944425.05,4119954
,BALMLAWRIE,EQ,       151.35,                232536249.10,1525190
,BALPHARMA,EQ,        55.70,                  6848263.70,121080
,BALRAMCHIN,EQ,       220.70,                475928004.50,2180507
,BANARBEADS,EQ,        55.10,                   768483.70,13871
,BANARISUG,EQ,      1834.10,                  9905325.90,5402
,BANCOINDIA,EQ,       153.20,                  9249018.50,60413
,BANG,EQ,        29.55,                   106670.80,3648
,BANKA,EQ,        71.20,                   839794.75,11971
,BANKBEES,EQ,       361.39,                228411504.15,632061
,BANKINDIA,EQ,        76.95,                292855731.10,3786508
,BANSWRAS,EQ,       118.40,                  1708069.35,14734
,BARTRONICS,BZ,         2.70,                    46975.70,17473
,BASF,EQ,      2247.75,                 86429788.95,38093
,BASML,EQ,        62.95,                  2338290.00,36601
,BATAINDIA,EQ,      1506.10,                601710551.85,399175
,BAYERCROP,EQ,      5164.20,                167867649.25,32564
,BBL,EQ,      1122.20,                  8091499.65,7195
,BBTC,EQ,      1202.30,                 72154633.95,59847
,BCG,EQ,         8.95,                  5115202.45,571531
,BCLIND,EQ,       119.85,                  4891224.85,41477
,BCONCEPTS,SM,        24.60,                   221400.00,9000
,BCP,EQ,         4.25,                  4884168.50,1181843
,BDL,EQ,       360.15,                129553839.95,358895
,BEARDSELL,EQ,         9.90,                    18254.95,1848
,BECTORFOOD,EQ,       386.25,                 80134892.55,206693
,BEDMUTHA,EQ,        24.70,                    21337.05,860
,BEL,EQ,       139.75,               1133879437.55,8082556
,BEML,EQ,      1444.25,               4511992451.65,3235729
,BEPL,EQ,       139.55,                 54919444.15,391461
,BESTAGRO,EQ,       388.75,                   842852.65,2195
,BETA,SM,       123.00,                   603240.00,4800
,BFINVEST,EQ,       314.50,                 10864302.00,34337
,BFUTILITIE,EQ,       285.45,                 62759842.60,219302
,BGRENERGY,EQ,        44.80,                  2942011.90,65609
,BHAGERIA,EQ,       162.30,                  3812901.65,23434
,BHAGYANGR,EQ,        45.75,                  3606031.20,78454
,BHAGYAPROP,EQ,        28.75,                    37042.05,1289
,BHANDARI,BE,         2.70,                   192934.85,71449
,BHARATFORG,EQ,       622.60,                998527692.55,1609145
,BHARATGEAR,EQ,        88.85,                 16029972.80,178288
,BHARATRAS,EQ,      9837.10,                 10709813.55,1085
,BHARATWIRE,BE,        38.95,                   338310.95,8602
,BHEL,EQ,        54.80,               4722718833.50,85630459
,BIGBLOC,EQ,       106.75,                   422943.50,3962
,BIL,EQ,       146.75,                   648409.75,4360
,BINDALAGRO,EQ,        17.95,                   997765.95,55724
,BIOFILCHEM,EQ,        81.70,                 16507101.85,198617
,BIRET,RR,       244.25,                 21816256.00,89200
,BIRLACABLE,EQ,        64.15,                  7013619.90,108744
,BIRLACORPN,EQ,       867.95,                 54171280.75,62358
,BIRLAMONEY,EQ,        45.40,                  4568534.55,99747
,BIRLATYRE,EQ,        26.95,                  8902458.65,328962
,BKMINDST,EQ,         1.15,                    41002.75,35578
,BLBLIMITED,EQ,         6.50,                   388733.30,59259
,BLISSGVS,EQ,       164.45,                106789104.80,639557
,BLKASHYAP,BE,        18.75,                 27437510.30,1532994
,BLS,EQ,       117.00,                400263859.10,3358556
,BLUECHIP,BE,          .20,                     4568.90,20890
,BLUEDART,EQ,      5352.15,                318001821.40,59889
,BLUESTARCO,EQ,       933.30,                 69994342.70,74430
,BODALCHEM,EQ,        91.45,                168126620.70,1820493
,BOHRA,SM,         1.25,                     2500.00,2000
