,15-Jun-2021
The Nifty witnessed an intraday movement of about 59.2 points.The closing index was 0.36 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 67123.48
, Traded Quantity (in Lakhs), 34416.34
, Number of Trades, 22698476
, Total Market Capitalisation (Rs. Crores), 22997088.23

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15811.85,     15866.95,     15901.60,     15842.40,     15869.25,57.4
,NIFTY50 EQL Wgt,     17908.15,     17957.65,     17994.00,     17914.10,     17929.85,21.7
,NIFTY100 EQL Wgt,     19109.00,     19159.55,     19189.60,     19118.80,     19134.30,25.3
,NIFTY100 LowVol30,     12372.85,     12401.05,     12447.40,     12394.45,     12407.55,34.7
,NIFTY Alpha 50,     27557.30,     27608.55,     27669.65,     27480.15,     27537.15,-20.15
,NIFTY MIDCAP 150,     10233.45,     10264.80,     10316.30,     10253.95,     10292.10,58.65
,NIFTY SMLCAP 50,      4903.25,      4931.90,      4949.60,      4905.85,      4911.00,7.75
,NIFTY SMLCAP 250,      8362.80,      8408.75,      8443.80,      8393.95,      8404.45,41.65
,NIFTY MIDSML 400,      9561.30,      9597.70,      9639.30,      9593.65,      9613.90,52.6
,NIFTY200 QUALTY30,     13365.90,     13409.30,     13453.80,     13400.15,     13432.60,66.7
,Nifty FinSrv25 50,     16642.75,     16703.00,     16740.90,     16656.30,     16705.45,62.7
,NIFTY AlphaLowVol,     15657.85,     15686.65,     15771.55,     15680.90,     15724.90,67.05
,Nifty200Momentm30,     17930.60,     18020.35,     18057.70,     17958.55,     17998.60,68
,Nifty100ESGSecLdr,      2703.20,      2712.05,      2715.55,      2706.75,      2709.00,5.8
,Nifty IT,     28314.10,     28384.70,     28544.60,     28325.90,     28377.85,63.75
,Nifty Next 50,     39121.95,     39246.90,     39351.60,     39172.35,     39248.75,126.8
,Nifty Bank,     34950.60,     35038.05,     35317.40,     34917.90,     35247.75,297.15
,NIFTY MIDCAP 100,     27198.50,     27260.95,     27432.05,     27236.65,     27364.35,165.85
,Nifty 500,     13554.15,     13601.35,     13634.35,     13587.75,     13607.80,53.65
,Nifty 100,     16079.70,     16134.30,     16167.60,     16113.60,     16136.65,56.95
,Nifty Midcap 50,      7572.00,      7603.65,      7656.15,      7593.00,      7623.80,51.8
,Nifty Realty,       352.40,       355.00,       358.60,       354.05,       357.05,4.65
,Nifty Infra,      4472.35,      4496.90,      4499.10,      4469.35,      4475.90,3.55
,Nifty Energy,     20902.70,     21022.95,     21066.10,     20851.75,     20900.10,-2.6
,Nifty FMCG,     35659.95,     35691.40,     35953.65,     35673.90,     35921.50,261.55
,Nifty MNC,     17309.85,     17345.35,     17426.90,     17321.05,     17412.85,103
,Nifty Pharma,     14449.60,     14464.50,     14505.00,     14309.55,     14322.65,-126.95
,Nifty PSE,      3723.45,      3739.10,      3755.35,      3712.60,      3716.45,-7
,Nifty PSU Bank,      2488.75,      2489.70,      2514.20,      2478.70,      2482.40,-6.35
,Nifty Serv Sector,     21815.25,     21904.90,     21965.40,     21858.80,     21931.85,116.6
,India VIX,14.7150,14.7150,15.1625,13.2775,14.6050,-0.1100
,Nifty Auto,     10753.10,     10768.20,     10803.25,     10739.40,     10754.40,1.3
,Nifty Metal,      5371.60,      5397.55,      5412.75,      5356.15,      5368.95,-2.65
,Nifty Media,      1869.85,      1878.70,      1923.05,      1875.70,      1907.30,37.45
,NIFTY SMLCAP 100,      9717.05,      9766.35,      9811.70,      9749.15,      9760.45,43.4
,Nifty 200,      8389.25,      8416.55,      8437.30,      8406.90,      8421.75,32.5
,Nifty Div Opps 50,      3329.65,      3339.65,      3348.50,      3334.55,      3336.25,6.6
,Nifty Commodities,      5283.15,      5295.85,      5323.50,      5276.40,      5288.85,5.7
,Nifty Consumption,      6300.25,      6316.45,      6361.10,      6313.20,      6357.40,57.15
,Nifty Fin Service,     16581.70,     16642.35,     16700.50,     16587.30,     16676.80,95.1
,Nifty50 Div Point,        59.80,        59.80,        59.80,        59.80,        59.80,0
,Nifty100 Liq 15,      4039.15,      4054.55,      4068.60,      4048.30,      4055.60,16.45
,Nifty CPSE,      2109.05,      2120.55,      2125.45,      2097.90,      2100.20,-8.85
,Nifty GrowSect 15,      7601.20,      7606.75,      7627.30,      7593.95,      7602.35,1.15
,Nifty50 PR 2x Lev,      7527.45,      7579.25,      7611.85,      7560.10,      7581.45,54
,Nifty50 PR 1x Inv,       277.75,       276.85,       277.20,       276.25,       276.80,-.95
,Nifty50 TR 2x Lev,     10123.80,     10193.45,     10237.35,     10167.75,     10196.40,72.6
,Nifty50 TR 1x Inv,       239.60,       238.80,       239.10,       238.30,       238.75,-.85
,Nifty50 Value 20,      8017.60,      8031.05,      8055.40,      8017.95,      8023.20,5.6
,Nifty Mid Liq 15,      6403.15,      6425.10,      6446.15,      6412.15,      6431.60,28.45
,Nifty Pvt Bank,     18352.70,     18412.35,     18577.20,     18352.55,     18549.95,197.25
,NIFTY100 Qualty30,      3606.10,      3616.90,      3633.15,      3614.70,      3626.05,19.95
,Nifty GS 8 13Yr,      2277.09,      2277.47,      2277.47,      2271.08,      2271.63,-5.46
,Nifty GS 10Yr,      2064.80,      2065.14,      2065.14,      2058.83,      2060.08,-4.72
,Nifty GS 10Yr Cln,       957.31,       957.31,       957.31,       954.38,       954.96,-2.35
,Nifty GS 4 8Yr,      2435.97,      2436.35,      2436.35,      2426.03,      2426.50,-9.47
,Nifty GS 11 15Yr,      2440.46,      2440.91,      2440.91,      2430.37,      2430.65,-9.81
,Nifty GS 15YrPlus,      2635.40,      2635.90,      2636.06,      2630.34,      2630.47,-4.93
,Nifty GS Compsite,      2323.22,      2323.61,      2323.61,      2314.91,      2315.46,-7.76

,ADVANCES,1188
,DECLINES,810
,UNCHANGED,67

,Total securities that have hit their price bands today,357

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ADANIPORTS,EQ,       768.45,       761.85,-0.86,3488.7
,AKSHOPTFBR,BE,         7.45,                  3681484.50,497028
,AKZOINDIA,EQ,      2320.75,                 25679451.25,11028
,ALANKIT,EQ,        23.25,                 37175434.50,1621967
,ALBERTDAVD,EQ,       527.20,                105783552.20,197493
,ALEMBICLTD,EQ,       130.05,                 48695393.10,373621
,ALICON,EQ,       559.80,                  5641019.80,10059
,ALKALI,EQ,        69.15,                  3488642.60,49962
,ALKYLAMINE,EQ,      3589.70,                379415584.60,104584
,ALLCARGO,EQ,       139.60,                 50156385.00,354628
,ALLSEC,EQ,       384.80,                 49997105.00,124947
,ALMONDZ,EQ,        46.15,                   275480.40,5963
,ALOKINDS,EQ,        29.30,               1441464675.95,47114181
,ALPA,BE,        57.10,                  3799586.80,65954
,ALPHAGEO,EQ,       279.60,                  9438194.80,33365
,ALPSINDUS,EQ,         2.85,                    18445.20,6472
,AMARAJABAT,EQ,       784.55,               2377039260.85,3045431
,AMBANIORG,SM,        72.85,                   145700.00,2000
,AMBER,EQ,      2785.10,                136592127.95,48845
,AMBICAAGAR,EQ,        23.15,                   624059.20,26801
,AMBIKCO,EQ,      1195.25,                 33630750.05,28048
,AMDIND,EQ,        23.60,                   435539.20,18432
,AMJLAND,EQ,        30.55,                  2398806.55,78283
,AMJUMBO,SM,         9.00,                   144000.00,16000
,AMRUTANJAN,EQ,       698.30,                 20878728.95,29841
,ANANTRAJ,BE,        60.25,                 12774091.05,212377
,ANDHRACEMT,BE,        14.75,                  5317568.50,362196
,ANDHRAPAP,EQ,       252.30,                 58793503.45,234304
,ANDHRSUGAR,EQ,       434.35,                 27958799.00,63941
,ANGELBRKG,EQ,       851.20,                147473314.40,172613
,ANIKINDS,EQ,        19.20,                  1164899.55,60048
,ANKITMETAL,BE,         1.60,                    62446.40,39029
,ANMOL,EQ,       158.70,                  4090286.35,25535
,ANSALAPI,EQ,         8.70,                  3693304.55,421221
,ANSALHSG,EQ,         8.60,                  1117265.45,128845
,ANUP,EQ,       888.90,                 28995970.75,32617
,ANURAS,EQ,       761.35,                179634173.10,233190
,APARINDS,EQ,       535.30,                 55644565.35,102539
,APCL,EQ,       337.65,                 41505581.50,122443
,APCOTEXIND,EQ,       321.45,                 54328459.35,165433
,APEX,EQ,       269.30,                 47034645.55,172676
,APLAPOLLO,EQ,      1498.60,               1550011454.85,1035675
,APLLTD,EQ,       998.35,                272507496.30,273527
,APOLLO,EQ,       117.35,                 16991705.10,143758
,APOLLOHOSP,EQ,      3298.30,               1527199542.55,461588
,APOLLOPIPE,EQ,      1029.00,                 30122998.20,29129
,APOLLOTYRE,EQ,       235.20,                853229929.30,3593627
,APOLSINHOT,EQ,       826.40,                  1037647.60,1241
,APTECHT,EQ,       241.80,                 51027922.85,210782
,ARCHIDPLY,BE,        35.65,                   606125.80,16868
,ARCHIES,EQ,        17.65,                 17036882.90,954622
,ARENTERP,EQ,        15.20,                    62612.10,4189
,ARIES,EQ,       130.70,                 52374352.60,399596
,ARIHANT,EQ,        28.80,                   422444.05,14439
,ARIHANTCAP,EQ,       125.10,                 17520926.55,139063
,ARIHANTSUP,BE,        96.10,                  4411912.95,46893
,ARMANFIN,EQ,       643.30,                  4717601.75,7363
,AROGRANITE,EQ,        53.75,                  1700197.10,31604
,ARROWGREEN,BE,       158.30,                  3289019.65,20884
,ARSHIYA,EQ,        36.35,                  2556152.35,70036
,ARSSINFRA,BE,        32.30,                   974062.10,30100
,ARTEMISMED,BE,       303.30,                  2659853.05,8901
,ARVEE,BE,       127.50,                  3111687.05,25620
,ARVIND,EQ,        86.30,                 78974067.50,907185
,ARVINDFASN,EQ,       140.25,                 40225927.75,286151
,ARVSMART,EQ,       110.00,                  9528000.15,86179
,ASAHIINDIA,EQ,       340.30,                 18955632.10,55408
,ASAHISONG,EQ,       356.10,                  5126844.00,14306
,ASAL,EQ,        53.95,                  5106851.40,95915
,ASALCBR,EQ,       460.65,                 32186787.30,69855
,ASHAPURMIN,BE,       149.75,                  6775663.90,45186
,ASHIANA,EQ,       140.35,                 45052180.75,322917
,ASHIMASYN,BE,        20.40,                  2121796.85,104683
,ASHOKA,EQ,        99.90,                265079865.25,2623527
,ASHOKLEY,EQ,       128.95,               1032845256.90,7979697
,ASIANHOTNR,EQ,        93.70,                  1413802.40,15041
,ASIANTILES,EQ,       189.15,                148180701.30,782133
,ASPINWALL,EQ,       206.05,                  1535286.00,7393
,ASTEC,EQ,      1373.05,                 27584831.75,19979
,ASTERDM,EQ,       157.80,                149975990.00,937132
,ASTRAL,EQ,      1950.70,                534024006.30,273524
,ASTRAMICRO,EQ,       167.65,                150508484.60,889429
,ASTRAZEN,EQ,      3808.40,                 83060806.30,21763
,ASTRON,EQ,        53.75,                 51521867.40,949006
,ATALREAL,SM,        39.00,                   124800.00,3200
,ATFL,EQ,       996.55,                146795427.85,145015
,ATGL,BE,      1467.70,               1478201794.20,1007110
,ATLANTA,EQ,        14.35,                   585996.60,40836
,ATUL,EQ,      8943.65,                195952771.30,21901
,ATULAUTO,EQ,       196.70,                 52549107.30,264306
,AUBANK,EQ,      1061.35,               1140459151.90,1065680
,AURDIS,SM,        35.70,                    71400.00,2000
,AURIONPRO,EQ,       155.50,                 17175886.90,110284
,AUSOMENT,EQ,        86.15,                 49908957.45,603858
,AUTOAXLES,EQ,      1349.05,                 12391566.80,9142
,AUTOIND,EQ,        48.50,                  3893586.65,79457
,AVADHSUGAR,EQ,       356.10,                 30463931.20,85343
,AVANTIFEED,EQ,       593.10,                373187000.65,633363
,AVG,SM,        56.80,                    68160.00,1200
,AVTNPL,EQ,        67.60,                 14203274.80,208482
,AWHCL,EQ,       332.45,                 37657469.35,112992
,AXISBNKETF,EQ,       350.82,                   176193.41,503
,AXISBPSETF,EQ,        10.17,                   694227.45,68190
,AXISCADES,EQ,        93.05,                 18268766.85,194889
,AXISGOLD,EQ,        42.07,                  1822724.53,43343
,AXISHCETF,EQ,        87.56,                   576396.28,6567
,AXISNIFTY,EQ,       164.92,                  1045376.29,6322
,AXISTECETF,EQ,       278.36,                  1081794.17,3928
,AYMSYNTEX,EQ,        70.50,                  2355683.25,33249
,BAFNAPH,EQ,       142.60,                  1432917.45,9948
,BAGFILMS,BE,         3.35,                   624114.15,184037
,BAJAJCON,EQ,       294.60,                136979049.15,464335
,BAJAJELEC,EQ,      1049.05,                 68831177.90,65629
,BAJAJHIND,EQ,        15.85,                624324865.45,38122940
,BALAJITELE,EQ,        69.65,                 26422106.30,377588
,BALAMINES,EQ,      2671.05,                162547630.45,60292
,BALAXI,EQ,       609.80,                  1197538.90,1960
,BALKRISHNA,BE,        20.80,                    76098.45,3697
,BALKRISIND,EQ,      2274.55,                387928296.40,170751
,BALLARPUR,BZ,         1.65,                   338342.40,205056
,BALMLAWRIE,EQ,       142.90,                176523741.40,1226000
,BALPHARMA,BE,        98.80,                  3860476.05,39049
,BALRAMCHIN,EQ,       348.35,                304904878.35,863515
,BANARBEADS,EQ,        56.50,                  1506967.00,26751
,BANARISUG,EQ,      1826.60,                  2480844.20,1356
,BANCOINDIA,EQ,       173.50,                 60165001.30,345025
,BANG,EQ,        34.90,                  4624456.50,134115
,BANKA,EQ,        68.55,                   122670.90,1777
,BANKBEES,EQ,       353.59,                192941349.49,546256
,BANKINDIA,EQ,        79.60,                306927071.25,3841393
,BANSWRAS,EQ,       175.90,                  4381996.85,24999
,BARBEQUE,EQ,       825.60,                 87930508.35,104536
,BARTRONICS,BZ,         4.10,                   155517.60,37980
,BASF,EQ,      2549.80,                120503666.90,46933
,BASML,BE,        75.05,                  4671206.15,61945
,BATAINDIA,EQ,      1646.15,                430785032.10,261958
,BAYERCROP,EQ,      5710.30,                287660432.15,50771
,BBL,EQ,      1301.95,                 16097654.70,12360
,BBTC,EQ,      1374.55,               1098952928.60,788431
,BCG,EQ,        13.25,                121749482.70,9633230
,BCLIND,EQ,       187.35,                 35803458.05,189440
,BCONCEPTS,SM,        25.25,                    75750.00,3000
,BCP,EQ,         4.20,                  4526560.70,1092903
,BDL,EQ,       360.15,                 34846286.40,96453
,BEARDSELL,BE,        13.85,                   131681.35,9259
,BECTORFOOD,EQ,       422.40,                 87552360.00,207726
,BEDMUTHA,EQ,        35.05,                  1998165.95,56174
,BEL,EQ,       150.70,               1155689908.00,7650343
,BEML,EQ,      1345.20,                487463206.40,359458
,BEPL,EQ,       188.10,                241581884.45,1267909
,BESTAGRO,EQ,       296.35,                  2229734.95,7492
,BFINVEST,EQ,       361.10,                 81275017.70,222462
,BFUTILITIE,EQ,       429.75,                629095932.15,1460641
,BGRENERGY,EQ,        67.90,                 19544864.55,284131
,BHAGERIA,EQ,       262.25,                243713349.70,912790
,BHAGYANGR,EQ,        55.90,                  7929106.80,140660
,BHAGYAPROP,EQ,        28.40,                   847209.40,29925
,BHANDARI,EQ,         3.35,                   942619.65,281379
,BHARATFORG,EQ,       741.50,               1632691132.20,2202815
,BHARATGEAR,EQ,       109.15,                 10804895.55,100091
,BHARATRAS,EQ,     12567.00,                 32066141.40,2537
,BHARATWIRE,EQ,        58.50,                  5123562.55,88079
,BHEL,EQ,        69.65,              11070499972.65,157719401
,BIGBLOC,EQ,       100.60,                  2161552.85,21247
,BIL,BE,       254.70,                  4266788.60,16826
,BINDALAGRO,EQ,        28.85,                 15973266.75,560576
,BIOFILCHEM,EQ,        70.70,                  3295259.85,46500
,BIRET,RR,       265.99,                 48661410.00,181400
,BIRLACABLE,EQ,        90.30,                 33646924.40,368494
,BIRLACORPN,EQ,      1224.00,                 96817892.80,78623
,BIRLAMONEY,EQ,        62.45,                302341487.10,4834304
,BIRLATYRE,EQ,        29.50,                 66757762.50,2287872
,BKMINDST,BE,         1.15,                    10212.00,8880
