,15-Mar-2021
The Nifty witnessed an intraday movement of about 302.55 points.The closing index was 0.67 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 60004.18
, Traded Quantity (in Lakhs), 28221.39
, Number of Trades, 20212523
, Total Market Capitalisation (Rs. Crores), 20565517.96

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15030.95,     15048.40,     15048.40,     14745.85,     14929.50,-101.45
,NIFTY50 EQL Wgt,     16290.90,     16344.45,     16344.45,     16006.15,     16241.55,-49.35
,NIFTY100 EQL Wgt,     17203.50,     17264.00,     17266.25,     16906.15,     17128.85,-74.65
,NIFTY100 LowVol30,     11333.30,     11345.45,     11348.35,     11190.65,     11287.95,-45.35
,NIFTY Alpha 50,     22517.80,     22660.85,     22660.85,     22192.55,     22460.35,-57.45
,NIFTY MIDCAP 150,      9144.40,      9190.40,      9193.50,      8989.05,      9081.95,-62.45
,NIFTY SMLCAP 50,      4259.30,      4285.05,      4286.65,      4181.25,      4214.05,-45.25
,NIFTY SMLCAP 250,      7212.80,      7255.55,      7259.90,      7097.65,      7159.70,-53.1
,NIFTY MIDSML 400,      8455.55,      8500.50,      8503.65,      8319.80,      8396.40,-59.15
,NIFTY200 QUALTY30,     12328.85,     12344.05,     12350.00,     12185.75,     12290.90,-37.95
,Nifty FinSrv25 50,     16181.95,     16211.25,     16211.25,     15738.55,     15980.95,-201
,NIFTY AlphaLowVol,     13946.65,     13977.75,     13992.75,     13767.25,     13891.45,-55.2
,Nifty200Momentm30,     14724.70,     14781.60,     14785.75,     14492.60,     14696.35,-28.35
,Nifty100ESGSecLdr,      2549.80,      2552.10,      2552.60,      2510.90,      2534.45,-15.35
,Nifty IT,     25888.25,     25859.15,     26094.15,     25651.80,     26032.05,143.8
,Nifty Next 50,     34808.95,     34946.45,     34958.60,     34201.10,     34624.10,-184.85
,Nifty Bank,     35496.65,     35544.25,     35544.25,     34430.65,     35182.55,-314.1
,NIFTY MIDCAP 100,     24115.60,     24238.65,     24239.80,     23654.70,     23952.30,-163.3
,Nifty 500,     12593.90,     12623.05,     12624.30,     12364.95,     12510.15,-83.75
,Nifty 100,     15140.15,     15163.25,     15165.40,     14856.30,     15040.85,-99.3
,Nifty Midcap 50,      6964.75,      7004.20,      7004.20,      6812.75,      6926.95,-37.8
,Nifty Realty,       349.35,       351.60,       351.60,       342.70,       347.95,-1.4
,Nifty Infra,      4232.35,      4249.90,      4251.55,      4147.20,      4202.35,-30
,Nifty Energy,     19318.30,     19440.15,     19440.85,     19005.75,     19322.90,4.6
,Nifty FMCG,     33068.50,     33172.60,     33179.80,     32720.00,     33058.85,-9.65
,Nifty MNC,     16131.55,     16203.85,     16203.85,     15951.20,     16038.40,-93.15
,Nifty Pharma,     12184.25,     12213.75,     12215.15,     11848.30,     12024.50,-159.75
,Nifty PSE,      3296.35,      3310.70,      3310.70,      3250.75,      3300.85,4.5
,Nifty PSU Bank,      2311.90,      2326.95,      2326.95,      2252.95,      2315.65,3.75
,Nifty Serv Sector,     21249.95,     21248.50,     21250.95,     20832.05,     21096.95,-153
,India VIX,21.7075,21.7075,22.9325,20.9950,21.2275,-0.4800
,Nifty Auto,     10383.90,     10446.75,     10450.20,     10178.25,     10335.10,-48.8
,Nifty Metal,      3840.20,      3845.50,      3890.35,      3785.05,      3880.05,39.85
,Nifty Media,      1715.20,      1720.00,      1721.00,      1666.65,      1690.55,-24.65
,NIFTY SMLCAP 100,      8482.90,      8530.35,      8536.15,      8341.05,      8416.10,-66.8
,Nifty 200,      7839.75,      7855.15,      7855.95,      7692.55,      7788.10,-51.65
,Nifty Div Opps 50,      3071.95,      3078.85,      3079.85,      3040.15,      3074.05,2.1
,Nifty Commodities,      4469.10,      4491.25,      4491.50,      4397.00,      4476.25,7.15
,Nifty Consumption,      5910.45,      5938.25,      5938.35,      5831.80,      5875.85,-34.6
,Nifty Fin Service,     16506.35,     16518.30,     16518.30,     16056.20,     16301.25,-205.1
,Nifty50 Div Point,       110.23,       112.66,       112.66,       112.66,       112.66,2.43
,Nifty100 Liq 15,      3772.40,      3782.95,      3782.95,      3683.35,      3748.55,-23.85
,Nifty CPSE,      1890.05,      1893.05,      1894.65,      1861.45,      1888.05,-2
,Nifty GrowSect 15,      7182.45,      7191.15,      7191.15,      7023.85,      7105.60,-76.85
,Nifty50 PR 2x Lev,      6907.45,      6921.60,      6921.60,      6643.65,      6812.35,-95.1
,Nifty50 PR 1x Inv,       291.65,       291.40,       297.30,       291.40,       293.70,2.05
,Nifty50 TR 2x Lev,      9211.45,      9233.30,      9233.30,      8862.65,      9087.60,-123.85
,Nifty50 TR 1x Inv,       252.70,       252.40,       257.50,       252.40,       254.40,1.7
,Nifty50 Value 20,      7410.35,      7414.45,      7432.20,      7330.00,      7415.30,4.95
,Nifty Mid Liq 15,      5886.25,      5920.80,      5920.80,      5756.95,      5826.95,-59.3
,Nifty Pvt Bank,     19033.90,     19058.15,     19058.15,     18445.40,     18828.60,-205.3
,NIFTY100 Qualty30,      3361.40,      3362.75,      3363.60,      3318.15,      3348.20,-13.2
,Nifty GS 8 13Yr,      2200.56,      2200.94,      2201.29,      2197.88,      2201.09,.53
,Nifty GS 10Yr,      2001.42,      2001.75,      2006.60,      2000.48,      2006.60,5.18
,Nifty GS 10Yr Cln,       941.24,       941.24,       943.56,       940.63,       943.56,2.32
,Nifty GS 4 8Yr,      2356.13,      2356.49,      2357.87,      2355.84,      2357.87,1.74
,Nifty GS 11 15Yr,      2349.71,      2350.14,      2350.14,      2344.90,      2348.97,-.74
,Nifty GS 15YrPlus,      2594.47,      2594.96,      2594.96,      2594.96,      2594.96,.49
,Nifty GS Compsite,      2247.40,      2247.78,      2248.25,      2244.97,      2248.20,.8

,ADVANCES,691
,DECLINES,1316
,UNCHANGED,74

,Total securities that have hit their price bands today,397

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AXISBANK,EQ,       750.60,       744.40,-0.83,1641.44
,MAGMA,EQ,       126.85,                232919094.45,1826072
,MAGMA,N2,      1195.00,                   119500.00,100
,MAGNUM,BE,         5.35,                    44864.80,8694
,MAHABANK,EQ,        22.15,                146476183.20,6529999
,MAHAPEXLTD,BE,        76.00,                   364159.25,4860
,MAHASTEEL,EQ,        83.65,                  2116084.95,25049
,MAHEPC,EQ,       155.10,                 19569117.95,125237
,MAHESHWARI,EQ,        81.75,                 15902726.70,190489
,MAHICKRA,SM,        81.90,                   487875.00,6000
,MAHINDCIE,EQ,       174.55,                 64987037.50,370844
,MAHLIFE,EQ,       551.85,                 30433789.80,54818
,MAHLOG,EQ,       584.85,                143055300.20,248155
,MAHSCOOTER,EQ,      3630.35,                 38307930.85,10430
,MAHSEAMLES,EQ,       282.85,                 12152648.80,42999
,MAITHANALL,EQ,       584.20,                 28178633.20,47853
,MAJESCO,BE,        77.70,                  3955396.20,50906
,MALUPAPER,EQ,        27.80,                   763630.30,27460
,MAN50ETF,EQ,       152.66,                  6407864.97,42141
,MANAKALUCO,EQ,         9.45,                   901787.75,95688
,MANAKCOAT,EQ,        15.55,                  8846655.55,569844
,MANAKSIA,EQ,        54.10,                  2432492.15,44637
,MANAKSTEEL,EQ,        22.20,                  1040513.05,45558
,MANALIPETC,EQ,        66.10,                169321486.55,2572768
,MANAPPURAM,EQ,       160.40,               1049398184.90,6535794
,MANGALAM,EQ,       110.85,                  3932162.35,35435
,MANGCHEFER,EQ,        81.55,                 53766115.00,666198
,MANGLMCEM,EQ,       276.75,                 10870647.10,39226
,MANGTIMBER,EQ,        11.70,                   222453.65,18603
,MANINDS,EQ,        81.75,                 16628383.50,204780
,MANINFRA,EQ,        43.75,                157998123.20,3645109
,MANUGRAPH,EQ,        14.75,                  1108703.80,77168
,MANXT50,EQ,       344.64,                  1664793.01,4857
,MARALOVER,BE,        30.40,                  1117837.95,37215
,MARATHON,EQ,        72.75,                 15891677.05,216448
,MARINE,EQ,        63.85,                 13773979.65,215562
,MARKSANS,EQ,        57.60,                150066272.45,2607335
,MARSHALL,SM,        12.25,                    73650.00,6000
,MASFIN,EQ,       866.75,                 48748879.40,55217
,MASKINVEST,BE,        32.60,                       65.20,2
,MASTEK,EQ,      1196.10,                115663483.90,96431
,MATRIMONY,EQ,      1049.20,                 12206906.65,11670
,MAWANASUG,EQ,        38.05,                  1066175.15,28107
,MAXHEALTH,EQ,       202.40,                165841051.60,828253
,MAXIND,EQ,        64.75,                 13725831.70,209782
,MAXVIL,EQ,        61.90,                 31622920.05,507112
,MAYURUNIQ,EQ,       421.95,                 98743864.10,237297
,MAZDA,EQ,       500.95,                  6079055.15,12019
,MAZDOCK,EQ,       219.35,                123298374.60,564018
,MBAPL,BE,        76.00,                     2869.00,37
,MBECL,BE,         8.80,                   514239.10,58650
,MBLINFRA,EQ,        22.50,                  5708314.25,253876
,MC1RG,MF,        12.09,                   604500.00,50000
,MCDHOLDING,EQ,        40.65,                  1003342.55,24733
,MCL,EQ,        90.30,                   502877.95,5605
,MCLEODRUSS,EQ,        22.25,                  6346012.05,282874
,MCX,EQ,      1539.70,                421839339.00,276240
,MDL,SM,        22.00,                    44000.00,2000
,MEGASOFT,EQ,        10.30,                   521306.35,51250
,MEGH,EQ,       123.55,               4994148404.55,42283610
,MELSTAR,BZ,         2.00,                    22451.20,11238
,MENONBE,EQ,        56.25,                  2098434.80,37506
,MEP,EQ,        18.35,                  2806860.70,153020
,MERCATOR,BE,          .95,                   598561.90,621987
,METALFORGE,BE,         5.75,                    77370.60,13680
,METROPOLIS,EQ,      1918.15,                 93975658.80,49190
,MFSL,EQ,       893.55,               1057234593.15,1193991
,MGEL,EQ,        45.45,                   216419.00,4797
,MGL,EQ,      1223.35,                884167919.85,733114
,MHHL,SM,        23.20,                   139200.00,6000
,MHRIL,EQ,       226.45,                  7873526.60,34509
,MIC,EQ,          .90,                   217329.95,248579
,MIDHANI,EQ,       192.80,                 90959380.10,470777
,MINDACORP,EQ,        99.05,                 59226599.10,602930
,MINDAIND,EQ,       546.70,                 81904971.65,153686
,MINDSPACE,RR,       299.60,                113174602.00,374600
,MINDTECK,EQ,        44.80,                   743625.75,16605
,MINDTREE,EQ,      1931.80,               3574831306.00,1875196
,MIRCELECTR,BE,        14.40,                  7214351.85,500896
,MIRZAINT,EQ,        50.10,                 15634981.85,311577
,MITTAL,EQ,        11.30,                   407617.50,36236
,MMFL,EQ,       526.90,                  8882035.45,16992
,MMP,EQ,        89.10,                  1440762.55,16168
,MMTC,EQ,        45.90,                280842312.35,6238477
,MODIRUBBER,BE,       167.75,                    85552.50,510
,MOHITIND,EQ,         8.10,                   218661.45,26170
,MOHOTAIND,BE,         8.20,                    90768.50,10858
,MOIL,EQ,       153.10,                 66815619.35,439421
,MOKSH,SM,        41.00,                   744900.00,18000
,MOLDTECH,EQ,        43.30,                  1295347.00,29765
,MOLDTEKPP,E1,       268.50,                   208340.60,772
,MOLDTKPAC,EQ,       392.90,                 23903292.55,60603
,MOLDTKPAC,W1,       260.00,                    24835.80,102
,MONTECARLO,EQ,       217.80,                 10931194.40,50031
,MORARJEE,EQ,        16.90,                   693009.25,42560
,MOREPENLAB,EQ,        35.20,                199689909.90,5704470
,MOTILALOFS,EQ,       662.55,                 90308186.20,137942
,MOTOGENFIN,EQ,        18.95,                   350984.50,18179
,MPHASIS,EQ,      1628.45,                560386484.35,342894
,MPSLTD,EQ,       473.85,                  4342505.90,9171
,MPTODAY,SM,        14.50,                    58000.00,4000
,MRF,EQ,     87673.55,               1989049691.45,22660
,MRO-TEK,BE,        27.85,                    58389.95,2099
,MRPL,EQ,        40.10,                137972465.00,3412159
,MSPL,EQ,         8.00,                   229454.25,28792
,MSTCLTD,EQ,       319.20,                216203075.25,675980
,MTARTECH,EQ,      1082.50,              16378094887.90,14975915
,MTEDUCARE,EQ,         7.80,                  1367017.85,175487
,MTNL,EQ,        23.00,                526512857.20,23197109
,MUKANDENGG,EQ,        15.05,                   178173.40,11680
,MUKANDLTD,EQ,        58.05,                  3342674.35,57365
,MUKANDLTD,P1,         5.95,                    15584.10,2896
,MUKTAARTS,EQ,        31.95,                   362680.25,11420
,MUNJALAU,EQ,        58.70,                  8051304.65,136966
,MUNJALSHOW,EQ,       151.85,                  6228006.05,40913
,MURUDCERA,EQ,        21.65,                  1763109.70,81784
,MUTHOOTCAP,EQ,       399.65,                 12636927.50,31697
,N100,EQ,       927.18,                 48718126.06,52598
,NABARD,N2,      1217.80,                   656788.80,540
,NACLIND,EQ,        38.60,                  1263221.40,32606
,NAGAFERT,BE,         6.55,                   668709.15,102093
,NAGREEKCAP,EQ,         6.20,                       62.00,10
,NAGREEKEXP,EQ,        16.75,                    20705.85,1239
,NAHARCAP,EQ,       123.15,                 43588842.05,361731
,NAHARINDUS,EQ,        53.05,                  8702868.25,168155
,NAHARPOLY,EQ,       120.95,                109607772.15,937388
,NAHARSPING,EQ,       118.00,                 38396658.00,334330
,NAM-INDIA,EQ,       340.15,                272753071.05,807586
,NANDANI,SM,        23.30,                   116500.00,5000
,NATCOPHARM,EQ,       826.95,                163516933.75,199587
,NATHBIOGEN,EQ,       301.05,                  7505470.65,24787
,NATIONALUM,EQ,        59.80,               1323239080.25,22479888
,NATNLSTEEL,EQ,         5.00,                   320115.00,64023
,NAVINFLUOR,EQ,      2628.30,                166971214.20,63457
,NAVKARCORP,EQ,        42.05,                 47146135.00,1120320
,NAVNETEDUL,EQ,        85.15,                 16334576.60,190817
,NBCC,EQ,        47.95,                519275463.20,10900792
,NBIFIN,EQ,      1833.10,                  1315525.50,719
,NBVENTURES,EQ,        69.70,                112362632.50,1621943
,NCC,EQ,        85.95,                218391756.40,2554535
,NCLIND,EQ,       170.70,                 38796008.05,228439
,NCPSESDL24,EQ,       102.11,                     4288.66,42
,NDGL,EQ,       770.00,                   240777.75,308
,NDL,EQ,        31.90,                   629739.25,19784
,NDRAUTO,EQ,       219.25,                  1312790.50,5906
,NDTV,EQ,        55.55,                  2011894.90,37076
,NECCLTD,EQ,         9.70,                   105982.90,11130
,NECLIFE,EQ,        20.70,                 10798937.25,518668
,NELCAST,EQ,        63.15,                  6770987.25,106288
,NELCO,EQ,       203.40,                 29868927.65,147874
,NEOGEN,EQ,       832.50,                 21271748.25,25370
,NESCO,EQ,       568.95,                 25794143.25,45228
,NETF,EQ,       179.29,                   336433.12,1888
,NETFCONSUM,EQ,        65.20,                   232201.12,3569
,NETFDIVOPP,EQ,        37.69,                    56377.92,1504
,NETFIT,EQ,        26.28,                 53282194.73,2030485
,NETFLTGILT,EQ,        21.90,                   964829.63,44093
,NETFMID150,EQ,        91.83,                  4879410.50,53372
,NETFNIF100,EQ,       154.18,                   123827.69,804
,NETFNV20,EQ,        80.49,                  4459828.99,55433
,NETWORK18,EQ,        44.90,                163669861.45,3686378
,NEULANDLAB,EQ,      2017.85,                 97595639.70,47708
,NEWGEN,EQ,       295.90,                 23130816.00,77967
,NEXTMEDIA,EQ,         4.50,                   153467.25,34581
,NFL,EQ,        60.60,                 99593215.40,1639303
,NH,EQ,       421.85,                 46280298.25,109629
,NHAI,N6,      1285.91,                  1027512.12,796
,NHAI,N9,      1284.00,                     2568.00,2
,NHAI,N1,      1073.55,                 12723794.18,11866
,NHAI,NE,      1259.95,                  1126402.02,894
,NHAI,NA,      1295.00,                  2885601.50,2225
,NHAI,N2,      1228.00,                  9217583.20,7500
,NHBTF2014,N6,      7011.00,                   336528.00,48
,NHBTF2023,N6,      6205.68,                  3562061.80,574
,NHPC,EQ,        24.30,                 78420327.15,3227564
,NHPC,N4,      1160.00,                   203000.00,175
,NHPC,N6,      1413.00,                   671127.31,473
,NIACL,EQ,       163.25,                235908269.95,1457871
,NIBL,BE,        11.30,                    38567.70,3444
,NIFTYBEES,EQ,       159.96,                433682110.89,2726411
,NIFTYEES,EQ,     19780.39,                    98172.17,5
,NIITLTD,EQ,       186.15,                 22796066.00,122366
,NILAINFRA,BE,         5.05,                  1357874.65,267821
,NILASPACES,BE,         1.60,                   327238.45,203166
,NILKAMAL,EQ,      1872.85,                 16411612.80,8812
,NIPPOBATRY,EQ,       761.95,                  5828785.30,7786
,NIRAJ,EQ,        42.90,                   133733.60,3134
,NITCO,EQ,        22.15,                  6513166.60,293092
,NITINFIRE,BZ,          .60,                    95359.95,150136
,NITINSPIN,EQ,        87.90,                 15607310.90,179323
,NKIND,EQ,        21.45,                     4461.20,208
,NLCINDIA,EQ,        52.40,                 62729097.45,1197670
,NOCIL,EQ,       179.05,                158148386.95,880188
,NOIDATOLL,BE,         7.30,                   593191.55,81526
,NORBTEAEXP,EQ,         7.30,                    74094.25,10148
,NOVARTIND,EQ,       595.10,                  4172721.70,7000
,NPBET,EQ,       182.96,                    67726.62,369
,NRAIL,EQ,       251.55,                  3431863.90,13653
,NRBBEARING,EQ,       119.60,                 76146758.75,634975
,NSIL,EQ,      1054.20,                  1071230.70,1017
,NTL,EQ,         1.00,                      160.00,160
,NTPC,N6,      1402.00,                    70100.00,50
,NTPC,N1,      1125.00,                   225000.00,200
,NTPC,N7,        13.69,                   483293.69,35324
,NTPC,ND,      1340.00,                   456271.97,341
,NUCLEUS,EQ,       519.65,                 19824139.45,38224
,NURECA,EQ,       577.60,                 19316966.55,33508
,NXTDIGITAL,EQ,       482.95,                   480934.95,993
,OAL,EQ,       600.45,                  8918688.10,14893
,OBEROIRLTY,EQ,       596.60,                710850031.05,1220564
,OCCL,EQ,      1019.05,                 24296491.05,23989
,OIL,EQ,       131.35,                109589656.90,834320
,OILCOUNTUB,EQ,         4.90,                    10182.20,2078
,OISL,BZ,         2.55,                   414890.10,162702
,OLECTRA,EQ,       215.50,                140112753.70,640576
,OMAXAUTO,EQ,        44.60,                   659642.30,14916
,OMAXE,EQ,        72.65,                  4780829.05,65564
,OMINFRAL,EQ,        24.10,                   701968.40,29131
,OMKARCHEM,BE,         8.95,                   188612.30,21074
,ONELIFECAP,BE,         7.00,                     3373.00,479
,ONEPOINT,EQ,        12.50,                   134527.35,10688
,ONMOBILE,EQ,       112.60,                198988820.40,1772290
,ONWARDTEC,EQ,       117.85,                 35642953.40,312427
,OPTIEMUS,EQ,       170.50,                  8301143.35,48336
,OPTOCIRCUI,BE,         3.90,                  1710065.45,436949
,ORBTEXP,EQ,        61.80,                  1035228.20,16704
,ORCHPHARMA,BE,      1407.90,                   511067.70,363
,ORICONENT,BE,        22.45,                  1465395.25,63867
,ORIENTABRA,EQ,        22.70,                  1250655.35,54795
,ORIENTALTL,EQ,         7.40,                   349852.60,47648
,ORIENTBELL,EQ,       235.05,                 12458202.90,52641
,ORIENTCEM,EQ,       100.40,                 36828495.40,366065
,ORIENTELEC,EQ,       298.90,                483749795.50,1584114
,ORIENTHOT,EQ,        24.15,                   991619.65,40917
,ORIENTLTD,EQ,        90.70,                   167628.45,1866
,ORIENTPPR,EQ,        28.45,                 78707933.00,2819387
,ORIENTREF,EQ,       230.85,                 14399528.75,62675
,ORISSAMINE,EQ,      2431.65,                 16527895.05,6833
,ORTEL,BZ,         1.05,                    16912.10,15902
,OSIAHYPER,SM,       137.00,                   488900.00,3600
,OSWALAGRO,EQ,        10.65,                   736350.50,69040
,OSWALSEEDS,SM,        28.00,                  2016000.00,72000
,PAEL,BZ,         5.30,                     4245.30,801
,PAGEIND,EQ,     27812.80,                796255168.60,28572
,PAISALO,EQ,       813.25,                 54634593.50,68522
,PALASHSECU,EQ,        54.15,                   557252.00,10281
,PALREDTEC,BE,        91.80,                  1437939.95,15690
,PANACEABIO,EQ,       184.55,                 22700183.70,122100
,PANACHE,EQ,        53.85,                  8193937.20,152874
,PANAMAPET,EQ,       163.70,                 18460408.25,112444
,PANSARI,SM,        39.55,                   711900.00,18000
,PAR,SM,       100.50,                   796400.00,8000
,PARACABLES,EQ,         9.20,                  2574252.55,280806
,PARAGMILK,EQ,       103.35,                 47182289.00,458073
,PARSVNATH,BE,         9.55,                  2579555.35,275793
,PASHUPATI,SM,        69.35,                  9509600.00,137600
,PATELENG,EQ,        13.30,                  3244335.10,243870
,PATINTLOG,EQ,        22.75,                   582781.95,25531
,PATSPINLTD,EQ,         5.50,                    51848.75,9434
,PAVNAIND,ST,       165.10,                 12025320.00,72800
,PCJEWELLER,EQ,        31.00,                116097028.00,3763759
,PDMJEPAPER,EQ,        25.30,                  1196332.20,47399
,PDPL,BE,         2.90,                    23304.40,8036
,PDSMFL,EQ,       665.00,                  1566247.40,2344
,PEARLPOLY,EQ,        15.10,                    58393.90,3811
,PENIND,EQ,        20.65,                  8284055.10,401878
,PENINLAND,EQ,         5.70,                  2083738.05,364493
,PENTAGOLD,SM,        83.90,                  1208700.00,15000
,PERSISTENT,EQ,      1769.95,                123442500.50,69775
,PFC,N4,      1067.23,                   728858.78,683
,PFC,N8,      1400.93,                  1701124.29,1214
,PFC,N3,      1310.00,                     7860.00,6
,PFC,N5,      1225.00,                    36730.00,30
,PFIZER,EQ,      4597.40,                213217332.65,46423
,PFOCUS,EQ,        59.35,                  6908695.75,116221
,PFS,EQ,        20.65,                 29788525.45,1430619
,PGEL,BE,       475.25,                 31286323.10,65981
,PGHL,EQ,      6529.35,                 43633790.30,6681
,PGIL,EQ,       178.40,                   992217.10,5558
,PHILIPCARB,EQ,       205.40,                234729422.55,1148680
,PHOENIXLTD,EQ,       793.05,                 47596260.10,60028
,PIGL,SM,        37.60,                  2784800.00,76000
,PIIND,EQ,      2234.70,                325681587.80,146902
,PILANIINVS,EQ,      1763.75,                 10831266.00,6092
,PILITA,EQ,        16.50,                  3509113.10,211028
,PIONDIST,EQ,       104.25,                  1434216.30,13597
,PIONEEREMB,EQ,        39.20,                   556196.90,14167
,PITTIENG,EQ,        72.50,                 11526980.00,159826
,PKTEA,BE,       234.95,                   664852.80,2857
,PLASTIBLEN,EQ,       245.85,                  9260853.95,37585
,PNBGILTS,EQ,        51.45,                 16041355.05,310637
,PNBHOUSING,EQ,       410.20,                 89034229.95,216598
,PNC,EQ,        23.55,                  1294193.45,55653
,PNCINFRA,EQ,       256.80,                 51275948.95,199413
,PODDARHOUS,BE,       189.95,                   200698.45,1047
,PODDARMENT,EQ,       204.05,                  2799808.85,13897
,POKARNA,EQ,       204.30,                 13984406.20,69435
,POLYCAB,EQ,      1357.10,                291642677.55,214232
,POLYMED,EQ,       877.60,                323915257.55,372000
,POLYPLEX,EQ,       888.15,                 69939913.75,78363
,PONNIERODE,EQ,       151.40,                   414652.55,2750
,POWERINDIA,EQ,      1311.30,                 38834451.25,29386
,POWERMECH,EQ,       516.15,                 20314667.75,39477
,PPAP,EQ,       240.20,                  5989004.45,24740
,PPL,EQ,       128.85,                 17391649.80,134854
,PRABHAT,EQ,        87.40,                132230400.05,1501829
,PRAENG,EQ,         8.55,                   558381.75,65102
,PRAJIND,EQ,       176.35,                212919813.65,1203648
,PRAKASH,EQ,        66.70,                242002264.95,3626955
,PRAKASHSTL,EQ,          .80,                   384893.90,480021
,PRAXIS,BE,        52.10,                  1200710.60,23012
,PRECAM,EQ,        40.25,                  7562033.70,186325
,PRECOT,EQ,       110.75,                  4458397.40,40714
,PRECWIRE,EQ,       212.10,                 52991377.85,255021
,PREMEXPLN,BE,       157.75,                  1488618.00,9726
,PREMIER,BE,         3.45,                      911.70,257
,PREMIERPOL,EQ,        38.95,                   269651.05,6858
,PRESSMN,EQ,        23.80,                   441262.45,18791
,PRESTIGE,EQ,       287.65,                143949605.20,504351
,PRICOLLTD,EQ,        69.40,                102381846.40,1470562
,PRIMESECU,BE,        45.00,                   145506.05,3222
,PRINCEPIPE,EQ,       436.20,                154224534.70,356889
,PRIVISCL,EQ,       648.00,                 25823487.70,39773
,PROZONINTU,EQ,        19.00,                  5325722.70,283137
,PRSMJOHNSN,EQ,       114.65,                 35666080.80,317484
,PSB,EQ,        18.15,                 20495376.45,1133715
,PSPPROJECT,EQ,       472.70,                 42253038.00,89284
,PSUBNKBEES,EQ,        25.22,                 14842827.00,596230
,PTC,EQ,        79.85,                275808394.90,3458434
,PTL,EQ,        40.45,                  4148742.15,102452
,PULZ,SM,        11.15,                   267800.00,24000
,PUNJABCHEM,EQ,       920.95,                  3494312.55,3816
,PUNJLLOYD,BZ,         1.90,                   447896.75,231204
,PURVA,EQ,        80.05,                 32138761.65,400519
,PVR,EQ,      1394.25,               1406266879.00,1012526
,QGOLDHALF,EQ,      1934.90,                  3527786.40,1824
,QNIFTY,EQ,      1542.25,                   107746.05,70
,QUESS,EQ,       701.55,                 80003491.05,113427
,QUICKHEAL,EQ,       194.65,                111467488.00,569984
,QUINTEGRA,BE,          .85,                    20435.10,23236
,RADAAN,BE,          .85,                     1349.50,1555
,RADICO,EQ,       552.70,                241421641.45,434900
,RADIOCITY,EQ,        24.35,                  4315066.25,176872
,RAILTEL,EQ,       141.60,                388057109.45,2728607
,RAIN,EQ,       155.95,                668202121.65,4466461
,RAJESHEXPO,EQ,       518.85,                324680717.70,624995
,RAJMET,BE,        90.95,                   160949.45,1839
,RAJRATAN,EQ,       765.15,                114639054.85,150178
,RAJRAYON,BZ,          .25,                    20155.50,90546
,RAJSREESUG,BE,        19.60,                   287322.30,14599
,RAJTV,EQ,        34.10,                   170212.00,4994
,RAJVIR,BE,        10.00,                     3130.00,313
,RALLIS,EQ,       269.70,                174600006.70,650725
,RAMANEWS,EQ,        16.95,                  3028973.80,179207
,RAMASTEEL,BE,        71.00,                   803748.00,11133
,RAMCOCEM,EQ,      1012.15,                727465597.10,728696
,RAMCOIND,EQ,       266.40,                 50239306.40,188963
,RAMCOSYS,EQ,       589.75,                 38121212.25,64728
,RAMKY,EQ,        87.65,                 17567030.25,197384
,RANASUG,EQ,         9.20,                  7055953.35,758438
,RANEENGINE,EQ,       306.40,                  2117863.05,6757
,RANEHOLDIN,EQ,       660.70,                 10198049.25,15579
,RATNAMANI,EQ,      1979.30,                 51352965.55,25943
,RAYMOND,EQ,       367.50,                256491894.20,699388
,RBL,EQ,       812.85,                  5141666.35,6349
,RBLBANK,EQ,       238.25,               3702105770.90,15694956
,RCF,EQ,        84.00,                271003818.05,3222498
,RCOM,EQ,         1.95,                 21129562.85,10871979
,RECLTD,EQ,       152.70,               1161661751.50,7670275
,RECLTD,N2,      1180.00,                   147500.00,125
,RECLTD,NF,      1277.00,                   792185.00,620
,RECLTD,N9,      1261.72,                   273588.25,216
,RECLTD,NG,      1425.00,                   142500.00,100
,REDINGTON,EQ,       175.45,                 32797258.05,187115
,REFEX,EQ,        86.05,                  6868340.40,79365
,REGENCERAM,BE,         1.10,                     1686.00,1651
,RELAXO,EQ,       834.40,                 95044795.75,113643
,RELCAPITAL,EQ,        12.90,                 80977481.70,6254122
,RELIANCEPP,E1,      1225.15,                928368425.15,764961
,RELIGARE,EQ,       100.80,                433391968.90,4429660
,RELINFRA,EQ,        37.70,                195822885.85,5142606
,REMSONSIND,EQ,       137.50,                   500792.75,3636
,RENUKA,EQ,         9.85,                 34077771.10,3443938
,REPCOHOME,EQ,       346.20,                 44900935.85,129487
,REPL,EQ,       204.10,                  3324699.65,16198
,REPRO,EQ,       382.60,                  4598586.30,12017
,RESPONIND,EQ,       176.30,                 50419655.15,271606
,REVATHI,EQ,       507.95,                  1061809.50,2096
,RGL,EQ,       315.75,                 55671906.10,176595
,RHFL,EQ,         3.30,                 27926662.80,8579684
,RHFL,N6,       182.80,                    66803.45,357
,RHFL,N8,       140.00,                    11771.20,82
,RICOAUTO,EQ,        40.10,                 16735126.90,418032
,RIIL,EQ,       396.35,                 62928175.55,158861
,RITES,EQ,       257.55,                 92176611.95,354795
,RKDL,EQ,         7.80,                    49954.30,6471
,RKEC,EQ,        59.20,                  1311177.10,22234
