,23-Apr-2021
The Nifty witnessed an intraday movement of about 187.85 points.The closing index was 0.45 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 65545.12
, Traded Quantity (in Lakhs), 25247.71
, Number of Trades, 19551105
, Total Market Capitalisation (Rs. Crores), 20103744.22

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     14406.15,     14326.35,     14461.15,     14273.30,     14341.35,-64.8
,NIFTY50 EQL Wgt,     15977.00,     15912.15,     16050.05,     15823.40,     15914.40,-62.6
,NIFTY100 EQL Wgt,     16876.20,     16828.65,     16968.65,     16753.60,     16855.40,-20.8
,NIFTY100 LowVol30,     11201.70,     11181.50,     11226.30,     11100.90,     11149.55,-52.15
,NIFTY Alpha 50,     24055.55,     24096.90,     24372.40,     23956.75,     24120.20,64.65
,NIFTY MIDCAP 150,      8863.70,      8866.90,      8966.50,      8840.40,      8892.85,29.15
,NIFTY SMLCAP 50,      4091.65,      4096.65,      4138.20,      4092.05,      4121.50,29.85
,NIFTY SMLCAP 250,      6987.25,      6997.40,      7071.00,      6982.65,      7015.95,28.7
,NIFTY MIDSML 400,      8191.95,      8197.55,      8286.75,      8175.45,      8220.85,28.9
,NIFTY200 QUALTY30,     12147.70,     12117.20,     12171.95,     12039.00,     12087.75,-59.95
,Nifty FinSrv25 50,     15059.80,     14927.60,     15238.70,     14927.30,     15116.80,57
,NIFTY AlphaLowVol,     14289.20,     14277.70,     14351.25,     14154.25,     14239.05,-50.15
,Nifty200Momentm30,     15978.05,     15977.55,     16094.65,     15788.25,     15907.95,-70.1
,Nifty100ESGSecLdr,      2477.25,      2467.90,      2484.15,      2454.65,      2465.35,-11.9
,Nifty IT,     25826.70,     25746.45,     25926.05,     25531.95,     25609.10,-217.6
,Nifty Next 50,     34242.85,     34196.80,     34483.20,     34078.80,     34284.85,42
,Nifty Bank,     31782.60,     31490.60,     32148.40,     31377.15,     31722.30,-60.3
,NIFTY MIDCAP 100,     23432.65,     23434.90,     23707.30,     23340.55,     23492.75,60.1
,Nifty 500,     12132.05,     12086.20,     12199.40,     12044.90,     12105.60,-26.45
,Nifty 100,     14564.25,     14492.20,     14625.10,     14439.90,     14510.95,-53.3
,Nifty Midcap 50,      6506.95,      6503.25,      6583.80,      6462.25,      6512.90,5.95
,Nifty Realty,       305.15,       304.25,       306.75,       299.50,       301.80,-3.35
,Nifty Infra,      3946.95,      3941.30,      3968.30,      3909.85,      3932.55,-14.4
,Nifty Energy,     17370.95,     17323.20,     17594.10,     17304.40,     17537.70,166.75
,Nifty FMCG,     34043.05,     33938.10,     34002.85,     33631.70,     33726.10,-316.95
,Nifty MNC,     15853.80,     15814.90,     15890.35,     15739.95,     15796.50,-57.3
,Nifty Pharma,     13378.95,     13373.10,     13476.55,     13169.00,     13319.75,-59.2
,Nifty PSE,      3011.65,      3002.00,      3058.45,      3000.65,      3042.35,30.7
,Nifty PSU Bank,      1961.25,      1941.65,      1998.60,      1940.65,      1967.20,5.95
,Nifty Serv Sector,     20112.10,     19959.40,     20245.40,     19935.45,     20062.05,-50.05
,India VIX,23.0250,23.0250,23.0525,20.2100,22.6900,-0.3350
,Nifty Auto,      9644.55,      9569.25,      9695.90,      9534.90,      9596.95,-47.6
,Nifty Metal,      4460.90,      4471.75,      4528.20,      4396.65,      4446.85,-14.05
,Nifty Media,      1506.55,      1503.80,      1530.05,      1497.65,      1513.65,7.1
,NIFTY SMLCAP 100,      8216.00,      8221.75,      8308.65,      8202.90,      8250.55,34.55
,Nifty 200,      7550.70,      7518.05,      7588.30,      7490.65,      7528.90,-21.8
,Nifty Div Opps 50,      3002.15,      2992.45,      3010.75,      2978.15,      2992.05,-10.1
,Nifty Commodities,      4483.25,      4482.30,      4520.35,      4443.35,      4480.25,-3
,Nifty Consumption,      5862.70,      5844.85,      5868.90,      5794.35,      5818.90,-43.8
,Nifty Fin Service,     15239.50,     15095.65,     15381.70,     15049.80,     15238.25,-1.25
,Nifty50 Div Point,         1.92,         1.92,         1.92,         1.92,         1.92,0
,Nifty100 Liq 15,      3510.50,      3487.05,      3534.85,      3480.10,      3502.55,-7.95
,Nifty CPSE,      1716.30,      1708.85,      1748.15,      1708.15,      1741.15,24.85
,Nifty GrowSect 15,      7219.45,      7193.25,      7215.80,      7119.65,      7159.95,-59.5
,Nifty50 PR 2x Lev,      6293.95,      6223.70,      6340.95,      6178.10,      6236.80,-57.15
,Nifty50 PR 1x Inv,       304.15,       305.90,       307.00,       303.05,       305.55,1.4
,Nifty50 TR 2x Lev,      8402.60,      8308.75,      8465.30,      8247.90,      8326.20,-76.4
,Nifty50 TR 1x Inv,       263.35,       264.85,       265.80,       262.40,       264.60,1.25
,Nifty50 Value 20,      7347.40,      7315.05,      7364.75,      7265.60,      7301.10,-46.3
,Nifty Mid Liq 15,      5502.25,      5481.80,      5572.60,      5470.30,      5519.00,16.75
,Nifty Pvt Bank,     16918.35,     16782.30,     17133.30,     16717.60,     16911.00,-7.35
,NIFTY100 Qualty30,      3259.70,      3248.35,      3268.35,      3232.20,      3246.35,-13.35
,Nifty GS 8 13Yr,      2243.19,      2243.57,      2243.79,      2241.52,      2243.39,.2
,Nifty GS 10Yr,      2041.07,      2041.40,      2041.71,      2037.05,      2040.09,-.98
,Nifty GS 10Yr Cln,       954.23,       954.23,       954.38,       952.15,       953.60,-.63
,Nifty GS 4 8Yr,      2399.07,      2399.44,      2402.46,      2398.56,      2401.02,1.95
,Nifty GS 11 15Yr,      2402.02,      2402.46,      2404.35,      2398.64,      2402.93,.91
,Nifty GS 15YrPlus,      2640.61,      2641.10,      2641.10,      2641.10,      2641.10,.49
,Nifty GS Compsite,      2289.48,      2289.86,      2291.41,      2287.76,      2290.56,1.08

,ADVANCES,1028
,DECLINES,864
,UNCHANGED,112

,Total securities that have hit their price bands today,283

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TATASTEEL,EQ,       921.40,       925.60,0.46,2303.79
,ALEMBICLTD,EQ,       109.00,                204298321.95,1830033
,ALICON,EQ,       425.25,                  2145336.00,4980
,ALKALI,EQ,        54.05,                  1820939.55,33558
,ALKYLAMINE,EQ,      6276.45,               1263683221.65,201357
,ALLCARGO,EQ,       122.55,                 11494510.65,93522
,ALLSEC,EQ,       315.00,                  1896461.90,6012
,ALMONDZ,EQ,        26.75,                    50574.35,1889
,ALOKINDS,EQ,        22.25,                758557628.75,34642454
,ALPA,EQ,        67.45,                119766163.60,1718691
,ALPHAGEO,EQ,       186.50,                  1795376.20,9665
,ALPSINDUS,BE,         1.50,                    47616.50,31782
,AMARAJABAT,EQ,       800.55,                668254722.20,833458
,AMBER,EQ,      3226.35,                138581176.65,43051
,AMBICAAGAR,BE,        13.80,                  1279015.00,92715
,AMBIKCO,EQ,       852.25,                  6784090.70,7883
,AMDIND,BE,        17.85,                   260052.65,14615
,AMJLAND,EQ,        24.00,                   136539.35,5697
,AMRUTANJAN,EQ,       634.45,                 52324329.75,81587
,ANANTRAJ,EQ,        49.45,                 11204826.35,223919
,ANDHRACEMT,EQ,         5.40,                  1226340.50,226576
,ANDHRAPAP,EQ,       215.20,                  2626104.80,12232
,ANDHRSUGAR,EQ,       331.20,                 81396646.90,238581
,ANGELBRKG,EQ,       346.15,                234059745.30,644327
,ANIKINDS,EQ,        14.10,                   296823.60,21191
,ANKITMETAL,EQ,          .95,                    51549.90,55532
,ANSALAPI,EQ,         6.00,                   231246.70,38422
,ANSALHSG,EQ,         5.05,                    69034.60,13559
,ANUP,EQ,       573.65,                 25751032.00,44327
,ANURAS,EQ,       590.00,                552089033.50,946298
,APARINDS,EQ,       453.25,                 33231801.55,72452
,APCL,EQ,       206.65,                  5512475.25,26299
,APCOTEXIND,EQ,       201.30,                267884245.60,1343088
,APEX,EQ,       214.00,                 19975698.15,93411
,APLAPOLLO,EQ,      1276.55,                416643984.55,332310
,APLLTD,EQ,       998.05,                350849243.00,349029
,APOLLO,EQ,        90.70,                  5770837.40,63212
,APOLLOHOSP,EQ,      3200.05,               3332082275.65,1030125
,APOLLOPIPE,EQ,      1005.30,                 18183923.70,17851
,APOLLOTYRE,EQ,       201.80,                929918130.90,4559504
,APOLSINHOT,EQ,       545.15,                   421915.65,771
,APTECHT,EQ,       200.55,                 47318945.40,232856
,ARCHIDPLY,BE,        29.50,                   409772.25,13956
,ARCHIES,EQ,         9.85,                   618520.15,62863
,ARENTERP,EQ,        11.40,                     2643.75,235
,ARIES,EQ,        82.75,                  1887342.75,22821
,ARIHANT,EQ,        18.20,                   157968.70,8707
,ARIHANTSUP,EQ,        58.80,                  4294807.60,71723
,ARMANFIN,EQ,       565.65,                  5337418.40,9500
,AROGRANITE,EQ,        40.15,                   530688.00,13339
,ARROWGREEN,BE,        67.45,                   470893.90,7012
,ARSHIYA,BE,        27.70,                   432373.35,15673
,ARSSINFRA,EQ,        25.50,                   450968.85,17210
,ARTEMISMED,EQ,       190.25,                   819045.05,4317
,ARVEE,BE,       109.35,                   517225.50,4730
,ARVIND,EQ,        60.50,                 44760189.45,728411
,ARVINDFASN,EQ,       124.90,                 28093875.00,222759
,ARVSMART,EQ,        95.95,                 13296339.65,136766
,ASAHIINDIA,EQ,       295.75,                  8108236.95,27272
,ASAHISONG,EQ,       319.10,                  4117209.30,12690
,ASAL,BE,        32.20,                    91629.60,2801
,ASALCBR,EQ,       406.90,                 15899461.25,39423
,ASHAPURMIN,EQ,       115.45,                 25821185.55,220033
,ASHIANA,EQ,       124.60,                  6374723.60,51114
,ASHIMASYN,EQ,        15.70,                  1839035.45,113375
,ASHOKA,EQ,        84.05,                 67722695.65,802450
,ASHOKLEY,EQ,       111.30,               3150473798.40,28200057
,ASIANHOTNR,EQ,        61.50,                   587505.50,9330
,ASIANTILES,EQ,       158.65,                 66434211.00,417709
,ASPINWALL,EQ,       171.30,                   378363.45,2257
,ASTEC,EQ,      1100.65,                 92107569.00,84283
,ASTERDM,EQ,       147.90,                109085928.30,729595
,ASTRAL,EQ,      1693.10,                550020484.05,323700
,ASTRAMICRO,EQ,       112.60,                 90971477.30,787259
,ASTRAZEN,EQ,      4234.15,               4830752747.95,1112864
,ASTRON,EQ,        38.80,                   682710.15,17464
,ATFL,EQ,       830.35,                  5045870.60,6045
,ATGL,EQ,      1154.50,               1874375414.50,1609947
,ATLANTA,EQ,         6.95,                    53148.05,7749
,ATUL,EQ,      7838.65,                335531885.25,43323
,ATULAUTO,EQ,       166.55,                  6395776.35,38259
,AUBANK,EQ,      1075.50,               2477673782.60,2257183
,AURIONPRO,EQ,       165.35,                 21553119.50,126545
,AUSOMENT,EQ,        56.80,                  1345143.15,23581
,AUTOAXLES,EQ,       959.85,                  9843584.90,10258
,AUTOIND,EQ,        35.25,                   316951.10,8994
,AVADHSUGAR,EQ,       227.25,                122383205.40,540870
,AVANTIFEED,EQ,       512.95,                678167389.70,1322349
,AVG,SM,        48.75,                    58500.00,1200
,AVROIND,SM,        38.00,                    76000.00,2000
,AVTNPL,EQ,        44.00,                  4948480.10,111898
,AWHCL,EQ,       279.70,                 23057744.65,81159
,AXISBNKETF,EQ,       317.71,                   207275.15,652
,AXISCADES,EQ,        66.65,                 31358603.50,458528
,AXISGOLD,EQ,        41.39,                 20711309.10,499657
,AXISNIFTY,EQ,       148.78,                   604982.29,4040
,AXISTECETF,EQ,       256.06,                   161114.29,623
,AYMSYNTEX,EQ,        43.50,                   138824.85,3196
,BAFNAPH,BE,       128.85,                  1877813.40,14346
,BAGFILMS,EQ,         2.20,                   243818.35,111674
,BAJAJCON,EQ,       287.85,                344023783.75,1186283
,BAJAJELEC,EQ,      1136.05,                 90887150.30,80538
,BAJAJHIND,EQ,         6.30,                 24835083.35,3900005
,BALAJITELE,EQ,        55.20,                  8739173.15,157200
,BALAMINES,EQ,      1939.40,                582736057.80,298505
,BALAXI,EQ,       578.35,                  1246888.40,2158
,BALKRISHNA,BE,        19.80,                   116678.10,5891
,BALKRISIND,EQ,      1694.85,                617149495.15,365087
,BALLARPUR,BZ,         1.05,                   294849.20,276905
,BALMLAWRIE,EQ,       120.00,                 63899161.25,530272
,BALPHARMA,EQ,       103.50,                285294948.10,2842705
,BALRAMCHIN,EQ,       266.00,                981008583.40,3606540
,BANARBEADS,EQ,        49.10,                   214264.05,4357
,BANARISUG,EQ,      1588.70,                  1071238.80,664
,BANCOINDIA,EQ,       142.35,                 13987326.30,98534
,BANG,EQ,        27.20,                   392229.65,14883
,BANKA,EQ,        60.90,                   292141.90,4781
,BANKBEES,EQ,       318.10,                410453003.76,1286802
,BANKINDIA,EQ,        65.15,                428136372.40,6556715
,BANSWRAS,EQ,        88.85,                  1550007.00,16868
,BARBEQUE,EQ,       640.90,                 94776819.35,147515
,BARTRONICS,BZ,         2.15,                    43250.90,20354
,BASF,EQ,      1969.65,                 68722761.90,34386
,BASML,EQ,        62.00,                   988907.60,15888
,BATAINDIA,EQ,      1303.05,                942705920.05,718100
,BAYERCROP,EQ,      5141.15,                 81204254.75,15890
,BBL,EQ,      1144.85,                121954997.60,103520
,BBTC,EQ,      1149.00,                 32923151.10,28455
,BBTCL,SM,        76.00,                   228000.00,3000
,BCG,EQ,         7.65,                 20657334.65,2701899
,BCLIND,EQ,       120.75,                  8410105.25,69377
,BCP,EQ,         3.20,                   565086.90,179337
,BDL,EQ,       324.50,                 48841030.15,150398
,BEARDSELL,EQ,         9.65,                    43995.50,4579
,BECTORFOOD,EQ,       366.75,                115512996.50,316064
,BEDMUTHA,EQ,        24.45,                   171505.25,7087
,BEL,EQ,       126.90,               1174062706.05,9204421
,BEML,EQ,      1128.10,                303822639.40,264466
,BEPL,EQ,       153.75,                155135260.45,1000032
,BESTAGRO,EQ,       410.80,                 54931983.90,135914
,BETA,SM,       167.45,                   803760.00,4800
,BFINVEST,EQ,       270.85,                  1383630.65,5042
,BFUTILITIE,EQ,       228.15,                 31660980.00,136527
,BGRENERGY,EQ,        43.40,                  8256217.00,189118
,BHAGERIA,EQ,       154.00,                  1950019.10,12656
,BHAGYANGR,BE,        48.10,                   781566.20,16269
,BHAGYAPROP,EQ,        29.00,                  1637449.90,56670
,BHANDARI,BE,         2.15,                   134242.25,62531
,BHARATFORG,EQ,       582.35,               1067616756.95,1815472
,BHARATGEAR,EQ,        72.20,                   819930.45,11266
,BHARATRAS,EQ,      9936.70,                 81160885.00,8151
,BHARATWIRE,BE,        41.50,                 12483570.05,308080
,BHEL,EQ,        45.40,               1931490247.80,42258515
,BIGBLOC,EQ,        84.00,                   475798.70,5695
,BIL,EQ,       193.95,                  1013569.45,5122
,BINDALAGRO,EQ,        16.75,                  1225348.70,73102
,BIOFILCHEM,BE,        70.95,                  2638107.60,37183
,BIRET,RR,       241.85,                 10433426.00,43200
,BIRLACABLE,EQ,        58.15,                  2499636.05,42567
,BIRLACORPN,EQ,       906.10,                 67334740.55,73350
,BIRLAMONEY,EQ,        41.25,                 44682205.40,1062198
,BIRLATYRE,EQ,        22.20,                  4065261.40,182981
,BKMINDST,EQ,          .85,                    11019.90,12894
,BLBLIMITED,BE,         5.95,                     7131.95,1205
,BLISSGVS,EQ,       101.65,                 58042058.00,567239
,BLKASHYAP,BE,        15.60,                  3058293.35,198731
,BLS,EQ,        86.25,                  6989711.35,80724
,BLUEDART,EQ,      5187.20,                 92414842.05,17763
,BLUESTARCO,EQ,       835.85,                 67223360.80,80514
,BODALCHEM,EQ,        92.20,                119359168.00,1273406
,BOMDYEING,EQ,        65.95,                 96504888.30,1461493
,BOROLTD,EQ,       197.15,                 58946981.75,293528
